년,월,역사명,환승역구분,04시-05시 승하차인원,05시-06시 승하차인원,06시-07시 승하차인원,07시-08시 승하차인원,08시-09시 승하차인원,09시-10시 승하차인원,10시-11시 승하차인원,11시-12시 승하차인원,12시-13시 승하차인원,13시-14시 승하차인원,14시-15시 승하차인원,15시-16시 승하차인원,16시-17시 승하차인원,17시-18시 승하차인원,18시-19시 승하차인원,19시-20시 승하차인원,20시-21시 승하차인원,21시-22시 승하차인원,23시-24시 승하차인원,00시-01시 승하차인원,01시-02시 승하차인원,02시-03시 승하차인원,03시-04시 승하차인원,Y좌표 (WGS84),X좌표 (WGS84),X좌표 (GRS80TM),Y좌표 (GRS80TM),geometry
2025,7,총신대입구(이수),환승역,88,8144,32775,72970,108271,72074,55965,54299,59472,60961,61216,68691,78671,98972,129488,78503,56040,48687,21345,4613,578,0,0,37.487521,126.982309,954233.4771542874,1943267.7036278495,POINT (954233.4771542874 1943267.7036278495)
2025,7,춘천역,일반역,307,761,2026,2838,5500,5613,4519,6670,5777,7539,6598,8144,6759,6059,5450,4594,2576,2361,1181,753,0,0,0,37.884391,127.716603,1019046.9916298018,1987195.1759794638,POINT (1019046.9916298018 1987195.1759794638)
2025,7,충무로,환승역,62,6478,31407,81500,214324,137604,83382,80509,77541,84278,81172,84281,102195,157944,224083,103936,79071,75958,36124,8120,199,0,0,37.561382,126.994173,955326.3879883435,1951456.4538389058,POINT (955326.3879883435 1951456.4538389058)
2025,7,충정로(경기대입구),환승역,25,5869,20317,70144,141757,65425,33172,32282,34114,37223,34710,37048,44046,81959,117090,45837,33224,30091,12996,3468,103,0,0,37.559742,126.964455,952700.6986147431,1951289.0448293868,POINT (952700.6986147431 1951289.0448293868)
2025,7,탄현역,일반역,77,7796,25434,44365,36427,22216,16308,16180,17617,16507,17956,19227,23274,29520,41768,36400,18670,20331,9746,2459,0,0,0,37.694114,126.761075,934855.3553432107,1966319.0577029479,POINT (934855.3553432107 1966319.0577029479)
2025,7,태릉입구,환승역,191,15613,26092,53316,77184,47601,36150,35165,38776,40688,40079,43533,51447,62041,79466,58517,39171,35803,20040,7785,1197,0,0,37.617319,127.074741,962470.1249597552,1957627.1444169532,POINT (962470.1249597552 1957627.1444169532)
2025,7,태평역,일반역,418,18460,26871,52928,80134,53488,36191,33797,34662,34809,35379,41296,47686,55401,65181,44231,33037,33508,13371,1169,0,0,0,37.439842,127.127746,967070.0014823544,1937917.301501069,POINT (967070.0014823544 1937917.301501069)
2025,7,퇴계원역,일반역,90,4223,8454,20732,17743,11955,9361,7821,9012,8759,7124,8939,10080,13400,17680,13000,7423,5495,2929,799,3,0,0,37.648316,127.143858,968582.8997291819,1961040.7393440325,POINT (968582.8997291819 1961040.7393440325)
2025,7,파주역,일반역,215,755,2447,5521,6990,2955,3094,3087,2572,2797,2391,2982,3709,5206,6067,3138,2283,1876,902,387,0,0,0,37.815391,126.792426,937721.0876540728,1979753.3558262843,POINT (937721.0876540728 1979753.3558262843)
2025,7,판교,환승역,10,841,12027,26773,46364,22826,16352,15131,12549,11316,12865,15652,21286,30261,34764,23559,21772,13775,2825,219,0,0,0,37.39501475,127.1112107,965586.7595726673,1932949.9931972069,POINT (965586.7595726673 1932949.9931972069)
2025,7,팔당역,일반역,12,451,1231,2953,4540,3540,3420,3099,3067,2971,2817,3587,3330,3568,3769,2905,2499,1999,357,0,0,0,0,37.547321,127.243896,977377.2220915309,1949807.072075955,POINT (977377.2220915309 1949807.072075955)
2025,7,평내호평역,일반역,848,7159,17443,34220,34872,19084,15259,14604,16668,15252,16551,16182,17339,27793,34429,27652,13980,13095,7266,2236,0,0,0,37.653229,127.244452,977458.3120857875,1961556.8819732682,POINT (977458.3120857875 1961556.8819732682)
2025,7,평택역,일반역,235,12070,25224,43823,49341,42832,39469,41672,42500,42437,44904,47925,53721,62016,61458,44012,41362,29663,14392,2372,0,0,0,36.990559,127.085496,963114.4153008602,1888090.3101120272,POINT (963114.4153008602 1888090.3101120272)
2025,7,평택지제역,일반역,20,5913,13653,23976,16767,11513,9492,9538,10441,8923,9400,12887,14094,21273,19337,16058,11680,10470,5976,283,0,0,0,37.018822,127.070269,961773.5528917938,1891231.650242707,POINT (961773.5528917938 1891231.650242707)
2025,7,풍산역,환승역,649,5228,15206,31220,29925,20780,15697,16972,15843,16537,15499,17331,20152,25558,32977,22123,18446,15694,7402,1616,0,0,0,37.672173,126.786355,937065.5690960356,1963867.4659157272,POINT (937065.5690960356 1963867.4659157272)
2025,7,하계,일반역,91,11510,35766,91358,100800,61113,45450,45013,50747,52014,47997,54450,62254,70315,88775,69328,44990,38421,19651,5772,0,0,0,37.636363,127.067999,961884.8544566233,1959742.7140208716,POINT (961884.8544566233 1959742.7140208716)
2025,7,하남검단산,일반역,22,4972,15299,31000,32412,22107,19462,17870,20904,20053,19445,23465,22596,27294,30332,25311,17853,15988,7045,2546,1,0,0,37.539729,127.223427,975566.6253903576,1948969.908954247,POINT (975566.6253903576 1948969.908954247)
2025,7,하남시청(덕풍∙신장),일반역,66,6940,19341,39544,45792,27878,24579,23225,23203,24641,22273,28093,31030,31989,42009,33763,20558,19594,8770,3988,0,0,0,37.541723,127.206901,974107.3501710698,1949195.5532594598,POINT (974107.3501710698 1949195.5532594598)
2025,7,하남풍산,일반역,4,2685,8627,19555,30197,18449,13901,12819,12380,13708,13294,14531,17568,20984,26845,16632,10272,9755,3960,1366,0,0,0,37.552201,127.203897,973845.6344293107,1950358.8550153691,POINT (973845.6344293107 1950358.8550153691)
2025,7,학동,일반역,13,3832,30064,71074,201364,148691,66695,42587,42909,48088,48913,53813,63955,112575,190666,89584,49158,41545,12757,2762,1,0,0,37.514262,127.031738,958618.040367445,1946211.5648490286,POINT (958618.040367445 1946211.5648490286)
2025,7,학여울,일반역,1,1054,4674,8603,13223,10646,8642,7045,8310,9366,8702,7725,8909,11451,12801,6673,4469,3935,1418,376,0,0,0,37.496787,127.0708601,962066.5744819123,1944256.3377810416,POINT (962066.5744819123 1944256.3377810416)
