NODE_ID,ARS_ID,정류소명,정류소타입,X좌표(WGS84),Y좌표(WGS84),X좌표(GRS80TM),Y좌표(GRS80TM)
121000205,22281,서울AI허브.한국교원단체총연합회,일반차로,127.0276019229,37.4670266951,958226.2207929944,1940972.944241766
121000207,22283,네이처힐3.4단지,일반차로,127.0261568554,37.4653477001,958097.4967847648,1940787.313395599
121000208,22284,성촌마을입구,일반차로,127.0249643139,37.4653569682,957992.04349766,1940788.8728216328
121000209,22285,송동마을.서초힐스아파트,일반차로,127.0179066267,37.459029969,957364.3277530646,1940090.107839365
121000211,22287,식유촌우면성당.서초호반써밋,일반차로,127.012719512,37.4575011395,956904.7062755212,1939922.8553145945
121000213,22289,양재역10번출구,일반차로,127.0347109627,37.4836855552,958864.0029363696,1942818.0011626729
121000214,22290,양재역,일반차로,127.0355022994,37.4834352902,958933.8280846394,1942789.890487534
121000217,22293,양재2동주민센터.양재꽃시장,가로변시간,127.0394643327,37.4695857229,959276.598310396,1941251.6552535
121000219,22295,언남고교,가로변전일,127.0389281035,37.4732795382,959231.1876499356,1941661.690374916
121000220,22296,매헌시민의숲.양재꽃시장,가로변시간,127.03836,37.470867,959179.6426185312,1941394.282092525
121000222,22298,AT센터.양재꽃시장,가로변시간,127.039655,37.468707,959292.9818817992,1941154.0846714196
121000223,22299,양곡도매시장,일반차로,127.0351946776,37.4603469913,958893.9890231484,1940228.5379282492
121000225,22301,하나로마트.코트라,일반차로,127.0444478156,37.4638411943,959714.1885732953,1940612.1972141245
121000226,22302,코트라,일반차로,127.0442708153,37.4648670188,959699.0864637744,1940726.080867905
121000227,22303,구룡사앞,일반차로,127.048848,37.47021,960106.6963162996,1941316.8983099123
121000228,22304,구룡사,일반차로,127.048132,37.474022,960045.4125623396,1941740.1166395303
121000229,22305,구룡사입구,일반차로,127.050237,37.472103,960230.522841344,1941526.3259464272
121000230,22306,동원산업앞,일반차로,127.0453961106,37.4766473684,959804.9074491846,1942032.547411127
121000231,22307,언남고.포이성당앞,일반차로,127.0458263366,37.4720326359,959840.4781533368,1941520.391248864
121000232,22308,양재119안전센터앞,일반차로,127.0412468009,37.4694948049,959434.16688704,1941240.799300411
121000234,22310,꽃마을,일반차로,127.0463678573,37.4606337119,959882.2707356348,1940255.5305370083
121000236,22312,개나리골입구,일반차로,127.0476271592,37.4574411837,959991.9390253634,1939900.8070217976
121000238,22314,새원마을,일반차로,127.0507075609,37.4542914263,960262.706146202,1939550.0606722725
121000240,22316,본마을,일반차로,127.051184988,37.4532630544,960304.3885225236,1939435.7690903803
121000242,22318,청계산.원터골,일반차로,127.0577012426,37.4444526002,960876.1359577916,1938455.589317508
121000244,22320,관현사입구,일반차로,127.0632387636,37.4373210738,961362.2973166214,1937662.116185357
121000246,22322,새쟁이마을,일반차로,127.0661788352,37.4345128931,961620.9555634896,1937349.369018525
121000248,22324,옛골,일반차로,127.0704380789,37.4309469125,961995.9588985512,1936952.0255467223
121000251,22327,탑성마을,일반차로,127.0566180036,37.4583767151,960787.5861185784,1940000.8171283852
121000254,22330,안골마을,일반차로,127.0623888747,37.4562835966,961296.8821332976,1939766.214477248
121000255,22331,서울특별시어린이병원.강동송파과학화예비군훈련장,일반차로,127.0702106955,37.456646235,961988.8450669668,1939803.2619175585
121000257,22333,헌인릉.강남서초과학화예비군훈련장,일반차로,127.079544,37.459744,962815.8331067066,1940143.2112754595
