역번호,역사명,노선번호,노선명,환승역구분,역사도로명주소,X좌표(WGS84),Y좌표(WGS84),X좌표(GRS80TM),Y좌표(GRS80TM)
1311,신내역,I41K2,경춘선,환승역,서울시 중랑구 망우동 320-2,127.103277,37.612855,964986.396163527,1957120.8571852
1312,갈매역,I41K2,경춘선,일반역,경기도 구리시 갈매동 경춘북로 229(갈매동 502-18),127.114803,37.634135,966013.3407516404,1959477.5433543709
1313,별내역,I41K2,경춘선,환승역,경기도 남양주시 경춘북로 375(별내동 182-5),127.127208,37.642221,967111.425919726,1960370.2305953067
1314,퇴계원역,I41K2,경춘선,일반역,경기도 남양주시 퇴계원면 경춘북로 545(퇴계원리 218-8),127.143858,37.648316,968582.899729182,1961040.7393440325
1315,사릉역,I41K2,경춘선,일반역,경기도 남양주시 진건읍 진건우회로 72-8(사능리 590-2),127.176839,37.651145,971493.41143747,1961344.0703927008
1316,금곡역,I41K2,경춘선,일반역,경기도 남양주시 경춘로 903(금곡동 404-276),127.207931,37.637414,974231.3537937494,1959811.679571575
1317,평내호평역,I41K2,경춘선,일반역,경기도 남양주시 경춘로 1375(평내동 156),127.244452,37.653229,977458.3120857876,1961556.881973268
1318,천마산역,I41K2,경춘선,일반역,경기도 남양주시 화도읍 묵현로 25번길 37,127.285731,37.658995,981100.966485269,1962187.4756889292
1319,마석역,I41K2,경춘선,일반역,경기도 남양주시 화도읍 마석우리 241-4,127.311713,37.652328,983391.1577279216,1961442.881912637
1320,대성리역,I41K2,경춘선,일반역,경기도 가평군 청평면 경춘로 88(대성리 393),127.379165,37.683909,989345.6335694088,1964936.858691461
1321,청평역,I41K2,경춘선,일반역,경기도 가평군 청평면 청평역로 97-33(청평리 125-1),127.426541,37.735484,993527.3986391546,1970654.600769373
1322,상천역,I41K2,경춘선,일반역,경기도 가평군 청평면 상천역로 29(상천리 1261),127.4542,37.770305,995966.3725784498,1974516.3485262587
1323,가평역,I41K2,경춘선,일반역,경기도 가평군 가평읍 문화로 13-42(달전리 567),127.510693,37.814515,1000941.1765195474,1979420.432862032
1324,굴봉산역,I41K2,경춘선,일반역,강원도 춘천시 남산면 서백길 192(백양리 588-30),127.557732,37.832086,1005080.2510513392,1981371.4291437056
1325,백양리역,I41K2,경춘선,일반역,강원도 춘천시 남산면 북한강변길 690(강촌리 680-7),127.589085,37.830881,1007839.3534251262,1981239.9037892856
1326,강촌역,I41K2,경춘선,일반역,강원도 춘춘시 남산면 강촌로 150(방곡리 409),127.634054,37.805728,1011800.5665691382,1978453.9367954032
1327,김유정역,I41K2,경춘선,일반역,강원도 춘천시 신동면 김유정로 1435(신동면 증리 859-3),127.714302,37.818475,1018861.437773294,1979881.3639227664
1328,남춘천역,I41K2,경춘선,일반역,강원도 춘천시 영서로 2260(퇴계동 633-2),127.723761,37.864071,1019681.8368403252,1984942.159156186
1329,춘천역,I41K2,경춘선,일반역,강원도 춘천시 평화로 1(근화동 190),127.716603,37.884391,1019046.9916298018,1987195.175979464
G100,양촌역,L41G1,김포도시철도,일반역,경기도 김포시 양촌읍 양촌역길 107,126.614694,37.641639,921894.9876671694,1960608.8534297256
G101,구래역,L41G1,김포도시철도,일반역,경기도 김포시 김포한강7로 87,126.6285,37.645354,923116.8583202916,1961009.6222301456
G102,마산역,L41G1,김포도시철도,일반역,경기도 김포시 김포한강3로 지하 442,126.643944,37.640606,924474.536526314,1960470.2921543077
G103,장기역,L41G1,김포도시철도,일반역,경기도 김포시 김포한강1로 지하 59,126.669,37.644028,926688.5035043536,1960830.0802468795
G104,운양역,L41G1,김포도시철도,일반역,경기도 김포시 김포한강1로 지하 235,126.683833,37.653861,928006.598838222,1961909.5460397704
G105,걸포북변역,L41G1,김포도시철도,일반역,경기도 김포시 김포대로 지하 1040,126.70575,37.631639,929919.0364030454,1959427.459195382
G106,사우역,L41G1,김포도시철도,일반역,경기도 김포시 김포대로 지하 852,126.719722,37.620361,931141.4772988812,1958165.847715692
G107,풍무역,L41G1,김포도시철도,일반역,경기도 김포시 김포대로 지하 710,126.732583,37.612333,932269.1794556708,1957265.8040246908
G108,고촌역,L41G1,김포도시철도,일반역,경기도 김포시 고촌읍 김포대로 지하 350,126.770361,37.60125,935593.8881395272,1956009.591988575
G109,김포공항역,L41G1,김포도시철도,환승역,서울특별시 강서구 하늘길 지하 77,126.801833,37.562309,938339.8863064236,1951668.109674499
1013,왕십리역,I4105,분당선,환승역,서울시 성동구 왕십리 광장로 17(행당동),127.038705,37.5610128,959259.1857358766,1951395.2574648347
1023,선릉역,I4105,분당선,환승역,서울시 강남구 테헤란로 지하 340,127.048941,37.504479,960133.1355619624,1945118.775007991
1024,한티역,I4105,분당선,일반역,서울시 강남구 선릉로 지하 228,127.052883,37.496208,960477.1919048628,1944199.498384865
1025,도곡역,I4105,분당선,환승역,서울시 강남구 남부순환로 지하 2814,127.055393,37.490914,960696.2898077046,1943611.1130617585
1026,구룡역,I4105,분당선,일반역,서울시 강남구 개포동 175-3,127.059496,37.486985,961056.96139711,1943173.5116779516
1027,개포동역,I4105,분당선,일반역,서울시 강남구 개포동 지하 420(개포동),127.066027,37.489112,961635.4293459236,1943406.8064291256
1028,대모산입구역,I4105,분당선,일반역,서울특별시 강남구 개포로 522,127.072702,37.491347,962226.6486118285,1943652.0652977785
1030,수서역,I4105,분당선,환승역,서울시 강남구 광평로 지하 270(수서동),127.101118,37.487633,964736.9019777472,1943228.9991673408
1031,복정역,I4105,분당선,환승역,서울특별시 송파구 송파대로 6,127.126627,37.469753,966984.164035054,1941236.091516846
1846,수원역(분당),I4105,분당선,환승역,경기도 수원시 팔달구 덕영대로 944,127.000082,37.266162,955674.6329738467,1918701.3240389857
1847,서울숲역,I4105,분당선,일반역,서울시 성동구 왕십리로 지하 77,127.044686,37.543647,959778.0889798888,1949466.0409909503
1848,압구정로데오역,I4105,분당선,일반역,서울시 강남구 압구정동 495(강남구 압구정로 지하 402),127.040555,37.527385,959404.3447227894,1947663.6409880235
1849,강남구청역,I4105,분당선,환승역,서울시 강남구 학동로 지하 364,127.041575,37.516572,959488.6242768632,1946463.5639660475
1850,선정릉역,I4105,분당선,환승역,서울시 강남구 선릉로 지하 580(삼성동),127.043717,37.510775,959674.7965806696,1945819.5024588937
1851,가천대역,I4105,분당선,일반역,경기도 성남시 수정구 성남대로 1332,127.126677,37.448784,966979.3662475476,1938909.720828672
1852,태평역,I4105,분당선,일반역,경기도 성남시 수정구 성남대로 지하 1229번지,127.127746,37.439842,967070.0014823544,1937917.301501069
