상호명,자치구,신주소,X좌표(WGS84),Y좌표(WGS84),X좌표(GRS80TM),Y좌표(GRS80TM),geometry
종로 은행나무집,종로구,"서울 종로구 삼일대로 382 (관철동, 신영빌딩) 2~3층",126.988072810786,37.5686993311209,954792.0502689057,1952271.1923408855,POINT (954792.0502689057 1952271.1923408855)
코엑스,강남구,"서울 강남구 영동대로 513 (삼성동, 코엑스)",127.059159043842,37.5118239121138,961040.0799608442,1945929.3666984665,POINT (961040.0799608442 1945929.3666984665)
탈방 ,종로구,서울 종로구 인사동길 48 (관훈동),126.984458604383,37.5744075259766,954476.354544585,1952906.2338112055,POINT (954476.354544585 1952906.2338112055)
"태릉, 강릉",노원구,"서울 노원구 화랑로 681 (공릉동, 태강릉)",127.097473658713,37.6301539234948,964482.4392000367,1959042.2775949787,POINT (964482.4392000367 1959042.2775949787)
충무로역,중구,서울 중구 퇴계로 198 (필동2가),126.993904601552,37.5609375137061,955302.4178787107,1951407.2679559253,POINT (955302.4178787107 1951407.2679559253)
함스브로트과자점,도봉구,서울 도봉구 도봉로 483 (쌍문동),127.034535261333,37.6489391638953,958939.2790455054,1961152.1131364857,POINT (958939.2790455054 1961152.1131364857)
화계사,강북구,"서울 강북구 화계사길 117 (수유동, 화계사)",127.007087091421,37.6325223905148,956508.3690634508,1959343.1019487858,POINT (956508.3690634508 1959343.1019487858)
환구단(원구단),중구,서울시 중구 소공로 106 (소공동),126.980184460247,37.5644841324893,954092.8435260033,1951807.3610881222,POINT (954092.8435260033 1951807.3610881222)
안경박사 본점,성북구,"서울 성북구 보국문로 10 (정릉동, 부광빌딩)",127.011654702043,37.6055372596331,956895.8131570588,1956347.1044522054,POINT (956895.8131570588 1956347.1044522054)
애플하우스,동작구,"서울 동작구 동작대로27다길 29 (사당동, 서광시티뷰) 2층",126.980662610028,37.4862850569156,954087.1704374059,1943131.3853201459,POINT (954087.1704374059 1943131.3853201459)
풍납토성,송파구,서울특별시 송파구 한가람로20길 30 (풍납동),127.120860181354,37.5386947722498,966505.0406269127,1948886.760315288,POINT (966505.0406269127 1948886.760315288)
플랫폼엘 (PLATFORM-L),강남구,서울 강남구 언주로133길 11 (논현동),127.034381857383,37.5160551065386,958852.6732049033,1946409.3394767153,POINT (958852.6732049033 1946409.3394767153)
한강초교앞보도육교,용산구,서울 용산구 한강로3가,126.962182447512,37.5276608637792,952479.6262207646,1947730.957743024,POINT (952479.6262207646 1947730.957743024)
옥상정원 (The Roof),중구,"서울 중구 한강대로 405 (봉래동2가, 경부고속철도서울민자역사)",126.969526329341,37.5547278494914,953145.4618729833,1950730.2100646498,POINT (953145.4618729833 1950730.2100646498)
왕짱구식당,종로구,서울 종로구 계동길 83 (계동),126.986679456785,37.5810909221363,954676.5142780019,1953646.6512016503,POINT (954676.5142780019 1953646.6512016503)
호호재 서울,종로구,서울 종로구 삼청로 71-7 (팔판동),126.981153090219,37.5821003632233,954189.1804862226,1953761.3246128869,POINT (954189.1804862226 1953761.3246128869)
흑석동 효사길,동작구,"서울 동작구 흑석동 효사 4, 5길",126.958112214605,37.5100426256332,952108.727609504,1945778.3790083157,POINT (952108.727609504 1945778.3790083157)
국립현대미술관 덕수궁관,중구,서울특별시 중구 세종대로 99 (정동),126.973725785222,37.5660868250943,953523.4416448387,1951988.3465593231,POINT (953523.4416448387 1951988.3465593231)
일자산허브천문공원,강동구,서울 강동구 둔촌동 산86,127.154246253068,37.5374114232963,969454.0063681916,1948733.0120919142,POINT (969454.0063681916 1948733.0120919142)
청전이상범 가옥,종로구,서울 종로구 필운대로 31-7 (누하동),126.968402524797,37.5788545117205,953061.3421849132,1953407.5066942263,POINT (953061.3421849132 1953407.5066942263)
토탈미술관,종로구,서울 종로구 평창32길 8,126.975628088798,37.6121417336643,953719.965916109,1957096.9932838317,POINT (953719.965916109 1957096.9932838317)
통문관,종로구,서울 종로구 인사동길 55-1,126.983667440764,37.5749008038661,954406.7929987976,1952961.3442600938,POINT (954406.7929987976 1952961.3442600938)
소덕문 터(옛 서소문),중구,서울 중구 서소문로 100 (중앙일보 구관),126.97258645939,37.5622732794756,953420.4498439705,1951565.816559731,POINT (953420.4498439705 1951565.816559731)
홍지문 탕춘대성,종로구,서울특별시 종로구 세검정로 212 (홍지동),126.958433131882,37.5977929887218,952193.1790968183,1955513.6748557761,POINT (952193.1790968183 1955513.6748557761)
회현쇼핑센터 물품보관소,중구,"서울 중구 소공로 지하 58 (충무로1가, 회현지하쇼핑센터) 마 24호",126.981847764291,37.5606668775872,954237.4032234421,1951383.0445457816,POINT (954237.4032234421 1951383.0445457816)
신안촌,종로구,서울특별시 종로구 사직로12길 8 (내자동),126.970877962504,37.5756194075988,953277.8970320022,1953047.35310416,POINT (953277.8970320022 1953047.35310416)
신촌역사 관광안내소,서대문구,"서울 서대문구 신촌역로 30 (신촌동, 신촌민자역사) 신촌역사 내",126.942386979371,37.5598241279561,950751.6908022518,1951309.4911176402,POINT (950751.6908022518 1951309.4911176402)
안국역 물품보관소,종로구,"서울 종로구 율곡로 지하 62 (안국동, 3호선 안국역)",126.985823042976,37.5767203705556,954598.2431238886,1953162.1726451674,POINT (954598.2431238886 1953162.1726451674)
원조조박집 ,마포구,서울특별시 마포구 토정로 313-1 1층동,126.943866192022,37.5399716114492,950869.3060769908,1949106.1808133957,POINT (950869.3060769908 1949106.1808133957)
원효로성당,용산구,서울 용산구 원효로19길 49 (원효로4가),126.95459335968,37.534209370461,951813.27910022,1948461.3400912364,POINT (951813.27910022 1948461.3400912364)
이태원북스,용산구,서울 용산구 녹사평대로 208 (이태원동),126.987226909735,37.5362463724633,954697.7088402889,1948671.1131490236,POINT (954697.7088402889 1948671.1131490236)
절두산순교성지,마포구,"서울 마포구 토정로 6 (합정동, 한국천주교순교자박물관)",126.911793575318,37.5441354407025,948038.7701181425,1949585.3779848355,POINT (948038.7701181425 1949585.3779848355)
종로5가역 물품보관소,종로구,"서울 종로구 종로 지하 216 (종로5가, 1호선 종로5가역)",127.001916647342,37.5709075371016,956015.8969578348,1952509.6116949408,POINT (956015.8969578348 1952509.6116949408)
중랑망우공간,중랑구,"서울 중랑구 망우로91길 2 (망우동, 중랑 망우공간)",127.114382844197,37.5989775278216,965960.245735353,1955577.1328286421,POINT (965960.245735353 1955577.1328286421)
창덕궁 물품보관소,종로구,"서울 종로구 창덕궁길 94 (원서동, 원서노인정)",126.989439938903,37.581680541322,954920.6074265727,1953710.738443462,POINT (954920.6074265727 1953710.738443462)
최만린미술관,성북구,서울 성북구 솔샘로7길 23 (정릉동),127.004288022173,37.6106597929108,956248.5838593103,1956918.8352213693,POINT (956248.5838593103 1956918.8352213693)
하늘물빛 (전통 천연 염색 연구소) ,종로구,서울 종로구 종로63라길 8 6층 옥상,127.018065848943,37.5746051151834,957444.0928030937,1952912.402803021,POINT (957444.0928030937 1952912.402803021)
한국가구박물관,성북구,"서울 성북구 대사관로 121 (성북동, 한국가구박물관)",126.993449438953,37.6003780418349,955285.8125657038,1955783.225075248,POINT (955285.8125657038 1955783.225075248)
해방촌 골목,용산구,서울 용산구 신흥로 90 (용산동2가),126.985583625331,37.5461126719259,954558.5160296635,1949766.518515202,POINT (954558.5160296635 1949766.518515202)
해창양복점,중구,서울 중구 남대문로7길 33 (소공동) 소공빌딩 101호,126.980017014113,37.563795833192,954077.6330125846,1951731.079507792,POINT (954077.6330125846 1951731.079507792)
허준근린공원,강서구,"서울 강서구 허준로5길 42 (가양동, 구암공원관리사무실)",126.853729825991,37.5675982250856,942927.3535935541,1952222.1425200778,POINT (942927.3535935541 1952222.1425200778)
갤러리모순,중구,"서울 중구 정동길 33 (정동, 신아일보) 203호",126.972170048684,37.5662500894879,953386.1514920626,1952007.23049998,POINT (953386.1514920626 1952007.23049998)
혜성미용실,구로구,서울 구로구 고척로6길 42 (오류동),126.84109552916,37.4966010908424,941756.4094765629,1944353.1028645409,POINT (941756.4094765629 1944353.1028645409)
공항칼국수,강서구,"서울 강서구 공항대로 18-1 (공항동, 이스카이오피스텔) 지하 1층",126.809129234237,37.5609595311681,938983.1764116527,1951513.6295963358,POINT (938983.1764116527 1951513.6295963358)
국립한글박물관 ,용산구,"서울 용산구 서빙고로 139 (용산동6가, 국립한글박물관)",126.980486330158,37.5210687976885,954092.8894584544,1946990.5152682916,POINT (954092.8894584544 1946990.5152682916)
국립항공박물관	,강서구,"서울 강서구 하늘길 177 (공항동, 국립항공박물관)",126.80887234623,37.5568697658909,938957.1515775413,1951060.0539406696,POINT (938957.1515775413 1951060.0539406696)
마포옥,마포구,서울특별시 마포구 토정로 312 (용강동),126.943351207119,37.5398742377381,950823.7462876478,1949095.6469168493,POINT (950823.7462876478 1949095.6469168493)
북촌목공예공방,종로구,서울 종로구 계동길 112 지1층,126.986935437125,37.5823429714786,954699.8747985433,1953785.4367616249,POINT (954699.8747985433 1953785.4367616249)
서소문성지역사박물관,중구,서울 중구 칠패로 5 (의주로2가),126.968867161039,37.5605678517575,953090.9010917951,1951378.4576844801,POINT (953090.9010917951 1951378.4576844801)
서울중앙우체국,중구,"서울 중구 소공로 70 (충무로1가, 서울중앙우체국청사)",126.982169090151,37.5615987374058,954266.3521671962,1951486.2732958521,POINT (954266.3521671962 1951486.2732958521)
스페이스 씨,강남구,"서울특별시 강남구 언주로 827, 스페이스씨 (신사동)",127.032811501034,37.5240704255681,958718.3140186673,1947299.278849126,POINT (958718.3140186673 1947299.278849126)
종로양복점,중구,서울 중구 수표로 45 (을지비즈센터) 618호 종로양복점,126.989596182183,37.5653393912938,954924.5544545745,1951897.6918675413,POINT (954924.5544545745 1951897.6918675413)
하동관 ,중구,서울 중구 명동9길 12 (명동1가),126.98503102565,37.5644336698671,954520.8369832827,1951799.4060474907,POINT (954520.8369832827 1951799.4060474907)
학림다방,종로구,서울 종로구 대학로 119 2층,127.001677370261,37.5819304868796,956001.253484699,1953732.666736628,POINT (956001.253484699 1953732.666736628)
학사당구장,동대문구,서울 동대문구 안암로 154 (제기동) 2층,127.035060919618,37.5883726180903,958952.3653578635,1954432.2782077577,POINT (958952.3653578635 1954432.2782077577)
한상수자수박물관,성북구,"서울 성북구 성북로 87-1 (성북동, 백강빌딩)",126.999156775598,37.5929188231965,955785.199816229,1954952.9554839893,POINT (955785.199816229 1954952.9554839893)
한성백제박물관,송파구,"서울 송파구 위례성대로 71 (방이동, 한성백제박물관)",127.120800706942,37.5154287227604,966489.3801859418,1946305.5579181935,POINT (966489.3801859418 1946305.5579181935)
한신옹기,용산구,서울 용산구 신흥로 7 (용산동2가),126.986504185678,37.5391526489225,954635.6181433972,1948993.896984204,POINT (954635.6181433972 1948993.896984204)
"현대카드 뮤직 라이브러리, 현대카드 바이닐앤플라스틱",용산구,서울 용산구 이태원로 246 (한남동),127.000702064249,37.5366355725896,955888.4441193999,1948707.8864475326,POINT (955888.4441193999 1948707.8864475326)
