공원명,자치구,공원주소,X좌표(GRS80TM),Y좌표(GRS80TM),X좌표(WGS84),Y좌표(WGS84),geometry
북악산도시자연공원,종로구,서울특별시 종로구 부암동 산2-6,953540.4956886978,1954974.1476082865,126.9737295,37.5929992,POINT (953540.4956886978 1954974.1476082865)
북한산국립공원,강북구 등,"서울특별시 강북구, 도봉구, 서대문구, 성북구, 은평구, 종로구 일대  경기도 고양시, 양주시, 의정부시 일대",955961.1027234491,1958461.3528862563,127.000938,37.624549,POINT (955961.1027234491 1958461.3528862563)
외국인묘지공원,마포구,서울특별시 마포구 양화진길 46(외국인묘지공원),948007.0873236193,1949880.8745778957,126.911414,37.546797,POINT (948007.0873236193 1949880.8745778957)
불광근린공원,은평구,서울특별시 은평구 불광동 산33-1,949688.2139130604,1957859.408976357,126.9298962,37.6188016,POINT (949688.2139130604 1957859.408976357)
불암산도시자연공원,노원구,서울특별시 노원구 한글비석로12길 51-33(불암산공원) ,964304.1632736243,1962761.8028587135,127.0952714,37.6636719,POINT (964304.1632736243 1962761.8028587135)
용마폭포공원,중랑구,서울특별시 중랑구 면목동 산1-4 ,963847.3880832336,1952725.7812878143,127.0905888,37.5731968,POINT (963847.3880832336 1952725.7812878143)
사육신공원,동작구,서울특별시 동작구 노량진로 191,951273.6074808539,1946189.552464895,126.948636,37.5137049,POINT (951273.6074808539 1946189.552464895)
용왕산근린공원,양천구,서울특별시 양천구 목동 199-51,945080.2124496638,1949473.9212298242,126.8783125,37.5429593,POINT (945080.2124496638 1949473.9212298242)
사직근린공원,종로구,서울특별시 종로구 사직로9길 5,952971.1762896677,1953089.8035248583,126.9674018,37.5759864,POINT (952971.1762896677 1953089.8035248583)
우장산근린공원,강서구,서울특별시 강서구 내발산동 산4-5,942140.0357435392,1950740.2928146082,126.844932,37.5541932,POINT (942140.0357435392 1950740.2928146082)
삼일근린공원,동작구,서울특별시 동작구 사당동 산24-17,953530.5693950115,1943104.8784333987,126.9743686,37.4860183,POINT (953530.5693950115 1943104.8784333987)
삼청근린공원,종로구,서울특별시 종로구 북촌로 134-1 (우) 03050,954470.4877407466,1954589.8651382693,126.9842875,37.5895821,POINT (954470.4877407466 1954589.8651382693)
인왕산도시자연공원,종로구,서울특별시 종로구 옥인동 산 3-1 ,952132.8983980429,1954083.5651760283,126.9578438,37.5849001,POINT (952132.8983980429 1954083.5651760283)
상도근린공원,동작구,서울특별시 동작구 성대로6사길 27-6(상도공원) ,950367.8148727412,1943819.96725122,126.9385469,37.492299,POINT (950367.8148727412 1943819.96725122)
일자산근린공원,강동구,서울특별시 강동구 동남로 660(일자산공원),969740.139994063,1949370.3754371996,127.1574587,37.5431657,POINT (969740.139994063 1949370.3754371996)
쌍문근린공원,도봉구,서울특별시 도봉구 쌍문동 산80,958288.5181095749,1961622.0690784485,127.0271316,37.6531456,POINT (958288.5181095749 1961622.0690784485)
수락산도시자연공원,노원구,서울특별시 노원구 상계동 산3-1,963095.126621715,1966712.4683302592,127.0813633,37.699232,POINT (963095.126621715 1966712.4683302592)
송파나루근린공원(석촌호수),송파구,서울특별시 송파구 잠실로 148 (잠실동) ,964496.9319574395,1945371.2419340152,127.0983002,37.5069328,POINT (964496.9319574395 1945371.2419340152)
선유도근린공원,영등포구,서울특별시 영등포구 선유로 343 (당산동 1) 선유도공원관리사무소,947008.7941029487,1949512.2857759844,126.90014,37.543418,POINT (947008.7941029487 1949512.2857759844)
손기정체육공원,중구,서울특별시 중구 손기정로 101 ,952770.3476401082,1950875.5756144046,126.9652702,37.5560189,POINT (952770.3476401082 1950875.5756144046)
성북근린공원,성북구,서울특별시 성북구 돈암동 616-1055,956554.8756186691,1955163.2477477598,127.0078625,37.5948509,POINT (956554.8756186691 1955163.2477477598)
봉제산공원,강서구,서울특별시 강서구 화곡동 산41-6,942736.0452580277,1949405.2740995928,126.8517836,37.5421979,POINT (942736.0452580277 1949405.2740995928)
서울창포원,도봉구,서울특별시 도봉구 마들로 916(서울창포원) ,960143.3442721572,1965655.8524785072,127.047938,37.689585,POINT (960143.3442721572 1965655.8524785072)
북서울꿈의숲,강북구,서울특별시 강북구 월계로 173,959472.2313032429,1958308.790282799,127.0407344,37.6233355,POINT (959472.2313032429 1958308.790282799)
서서울호수공원,양천구,서울특별시 양천구 남부순환로64길 20 (신월동),940842.6074111406,1947825.4328814032,126.8304789,37.5278392,POINT (940842.6074111406 1947825.4328814032)
중랑캠핑숲,중랑구,서울특별시 중랑구 송림길 160(중랑캠핑숲)/중랑구 망우동 74(청소년체험의숲),965515.0011115326,1956245.9954159737,127.1093075,37.6049896,POINT (965515.0011115326 1956245.9954159737)
솔밭근린공원,강북구,서울특별시 강북구 우이동 80번지 일대,956920.1304388319,1961538.7018380277,127.0116241,37.652331,POINT (956920.1304388319 1961538.7018380277)
금천체육공원(관악산),금천구,서울특별시 금천구 독산동 산118-4 일대 (금천체육공원),947710.843926973,1941158.5043211875,126.908681,37.468164,POINT (947710.843926973 1941158.5043211875)
금천폭포근린공원,금천구,서울특별시 금천구 시흥대로38길 61(시흥동 937-2),947283.0833135645,1938798.2666631893,126.9040127,37.4468663,POINT (947283.0833135645 1938798.2666631893)
만수천공원(관악산),금천구,서울특별시 금천구 독산동 산8 일대,947742.9647451213,1941742.2664708013,126.9090028,37.4734274,POINT (947742.9647451213 1941742.2664708013)
발바닥공원,도봉구,서울특별시 도봉구 시루봉로6길 33,958720.0083394991,1962348.6087643402,127.031982,37.6597135,POINT (958720.0083394991 1962348.6087643402)
월천근린공원,도봉구,서울특별시 도봉구 창동 28번지,960389.9652779698,1960973.0414872444,127.0509895,37.6473889,POINT (960389.9652779698 1960973.0414872444)
용두근린공원,동대문구,서울특별시 동대문구 용두동 34-1번지 일대,959292.2867001372,1952756.010468543,127.0390042,37.5732791,POINT (959292.2867001372 1952756.010468543)
상암근린공원,마포구,서울특별시 마포구 상암동 1761,945774.5626339957,1953136.405820783,126.8859012,37.5760106,POINT (945774.5626339957 1953136.405820783)
와우근린공원,마포구,서울특별시 마포구 창전동 3-193번지 일대(홍익대 뒷산),949563.3239337899,1950418.567206825,126.9289936,37.5517298,POINT (949563.3239337899 1950418.567206825)
금호근린공원,성동구,서울특별시 성동구 장터1길 18,957507.5141988221,1950123.6821653189,127.0189457,37.5494726,POINT (957507.5141988221 1950123.6821653189)
달맞이근린공원,성동구,서울특별시 성동구 옥수동 산1-1,957703.7808540463,1949467.1363624956,127.0212054,37.543564,POINT (957703.7808540463 1949467.1363624956)
문정근린공원,송파구,서울특별시 송파구 문정동 18-4,967075.8256188254,1943062.1648314637,127.1275819,37.4862156,POINT (967075.8256188254 1943062.1648314637)
문화예술공원,서초구,서울특별시 서초구 바우뫼로12길 40 (양재동),958484.3471232335,1941041.2504219594,127.030517,37.467654,POINT (958484.3471232335 1941041.2504219594)
세종로공원,종로구,서울특별시 종로구 세종대로 189 (우) 03172,953718.9366833544,1952809.7355100317,126.9758875,37.5735,POINT (953718.9366833544 1952809.7355100317)
샘말공원(관악산근린공원 샘말지구),관악구,서울특별시 관악구 대학동 산63-1일대 샘말공원,950346.0606819825,1940704.001215508,126.938511,37.4642128,POINT (950346.0606819825 1940704.001215508)
초안산생태공원,도봉구,서울특별시 도봉구 창동 산24,959468.2894891588,1961039.5695339683,127.0405382,37.6479483,POINT (959468.2894891588 1961039.5695339683)
푸른수목원,구로구,서울특별시 구로구 서해안로 2117(항동81-1) 푸른수목원관리사무소,940240.6149672864,1942858.0262688282,126.82407,37.483029,POINT (940240.6149672864 1942858.0262688282)
서오능도시자연공원,은평구,서울특별시 은평구 구파발동 갈현동 진관내동,948248.3452786513,1959940.919852582,126.9134338,37.6374823,POINT (948248.3452786513 1959940.919852582)
청계산도시자연공원,서초구,서울특별시 서초구 원지동 산 33,959517.2109332674,1936019.3036966163,127.0424726,37.4224347,POINT (959517.2109332674 1936019.3036966163)
개화근린공원,강서구,서울특별시 강서구 개화동 산17,938796.6371669096,1953781.995413731,126.8068278,37.5813917,POINT (938796.6371669096 1953781.995413731)
아차산공원,광진구,서울특별시 광진구 광장동 370,964756.8970907487,1950338.4485382016,127.1010031,37.5517142,POINT (964756.8970907487 1950338.4485382016)
인능산도시자연공원,서초구,서울특별시 서초구 내곡동 산12-404,961670.7939752875,1938868.8613143414,127.0666632,37.4482109,POINT (961670.7939752875 1938868.8613143414)
구룡산도시자연공원,서초구,서울특별시 서초구 염곡동 산25-1,961230.7329075774,1941171.499042144,127.061567,37.4689473,POINT (961230.7329075774 1941171.499042144)
우면산도시자연공원,서초구,서울특별시 서초구 우면동 산35-1,956594.9646258953,1941364.8602233783,127.0091324,37.470484,POINT (956594.9646258953 1941364.8602233783)
향림근린공원,은평구,서울특별시 은평구 진관동 산55,949181.1881115609,1959036.4501901355,126.9240693,37.6293824,POINT (949181.1881115609 1959036.4501901355)
신사근린공원,은평구,서울특별시 은평구 신사동 산80-4,947939.7481493499,1954905.1162027013,126.9102948,37.5920771,POINT (947939.7481493499 1954905.1162027013)
광평근린공원,강남구,서울특별시 강남구 수서동 산10-1,963947.2874765181,1943278.036148786,127.092184,37.4880445,POINT (963947.2874765181 1943278.036148786)
청담근린공원,강남구,서울특별시 강남구 청담동 66,960452.4358749902,1946986.3515646206,127.052453,37.5213259,POINT (960452.4358749902 1946986.3515646206)
허브천문공원,강동구,서울특별시 강동구 둔촌동 산94,969378.7528621668,1948717.765278941,127.1533951,37.5372715,POINT (969378.7528621668 1948717.765278941)
연신내물빛공원,은평구,서울특별시 은평구 통일로 849,948879.9357069858,1957892.139795154,126.9207354,37.619052,POINT (948879.9357069858 1957892.139795154)
숭인근린공원,종로구,서울특별시 종로구 숭인동 58,957424.0210674832,1953116.293389488,127.0178267,37.5764419,POINT (957424.0210674832 1953116.293389488)
서일대뒷산공원,중랑구,서울특별시 중랑구 면목동 산19,964577.735571953,1954333.4356449682,127.0987817,37.5877155,POINT (964577.735571953 1954333.4356449682)
용마도시자연공원(사가정공원),중랑구,서울특별시 중랑구 면목7동 산50 ,964328.0875051784,1953452.1111123962,127.095997,37.5797622,POINT (964328.0875051784 1953452.1111123962)
문화비축기지,마포구,서울특별시 마포구 증산로 87,946420.0016388131,1952656.0002946404,126.8932455,37.57171848,POINT (946420.0016388131 1952656.0002946404)
경춘선숲길,노원구,노원구 공릉2동 산 82-2,962628.6572526533,1958709.0581240442,127.076482,37.627077,POINT (962628.6572526533 1958709.0581240442)
율현공원,강남구,서울특별시 강남구 밤고개로24길 91(율현동 56),966009.7253626339,1941526.1376896147,127.115594,37.472332,POINT (966009.7253626339 1941526.1376896147)
서울로7017,중구,서울로7017,952108.708882064,1945778.4206513427,126.958112,37.510043,POINT (952108.708882064 1945778.4206513427)
서울식물원,강서구,서울특별시 강서구 마곡동로 161 서울식물원,941259.9896327284,1952475.9591648085,126.83483,37.569781,POINT (941259.9896327284 1952475.9591648085)
