기준연월,자치구,숙박방문자수,평균 숙박일수,평균체류시간(시간),전국 평균체류시간(시간),연도,월,분기
202505,성동구,6466540.0,3.06,14.57,19.63,2025,05,Q2
202506,성동구,6069877.0,2.92,10.9,15.13,2025,06,Q2
202507,성동구,6042778.0,2.95,11.92,17.5,2025,07,Q3
202508,성동구,5925815.0,2.91,12.12,16.43,2025,08,Q3
202509,성동구,6654997.0,2.98,12.15,17.3,2025,09,Q3
202510,성동구,6170192.0,2.94,12.1,16.67,2025,10,Q4
202511,성동구,6643276.0,2.89,10.0,14.57,2025,11,Q4
202512,성동구,6432478.0,2.87,10.8,16.33,2025,12,Q4
202501,성북구,3397173.0,3.0,20.77,17.83,2025,01,Q1
202502,성북구,3371742.0,3.17,20.68,16.9,2025,02,Q1
202503,성북구,4849837.0,3.33,29.98,21.33,2025,03,Q1
202504,성북구,3806595.0,3.02,16.35,14.27,2025,04,Q2
202505,성북구,4422466.0,3.19,23.68,19.63,2025,05,Q2
202506,성북구,4105895.0,3.08,17.93,15.13,2025,06,Q2
202507,성북구,4373652.0,3.15,20.15,17.5,2025,07,Q3
202508,성북구,4262167.0,3.05,18.63,16.43,2025,08,Q3
202509,성북구,5229821.0,3.18,20.02,17.3,2025,09,Q3
202510,성북구,4701438.0,3.12,18.9,16.67,2025,10,Q4
202511,성북구,4861719.0,3.07,14.95,14.57,2025,11,Q4
202512,성북구,4547993.0,3.07,17.97,16.33,2025,12,Q4
202501,송파구,8843996.0,2.88,14.6,17.83,2025,01,Q1
202502,송파구,8882894.0,2.93,13.97,16.9,2025,02,Q1
202503,송파구,10326330.0,2.93,15.23,21.33,2025,03,Q1
202504,송파구,10279931.0,2.84,11.12,14.27,2025,04,Q2
202505,송파구,11090054.0,3.04,16.65,19.63,2025,05,Q2
202506,송파구,10168264.0,2.94,13.35,15.13,2025,06,Q2
202507,송파구,10673495.0,2.97,14.45,17.5,2025,07,Q3
202508,송파구,10429245.0,2.89,13.73,16.43,2025,08,Q3
202509,송파구,10290543.0,2.93,13.12,17.3,2025,09,Q3
202510,송파구,10261323.0,2.9,13.3,16.67,2025,10,Q4
202511,송파구,10907035.0,2.86,12.15,14.57,2025,11,Q4
202512,송파구,11256247.0,2.82,12.52,16.33,2025,12,Q4
202501,양천구,2788645.0,3.03,20.3,17.83,2025,01,Q1
202502,양천구,2652277.0,3.17,18.9,16.9,2025,02,Q1
202503,양천구,3261030.0,3.15,20.98,21.33,2025,03,Q1
202504,양천구,2846103.0,3.03,15.88,14.27,2025,04,Q2
202505,양천구,3315645.0,3.32,26.12,19.63,2025,05,Q2
202506,양천구,3103577.0,3.14,18.18,15.13,2025,06,Q2
202507,양천구,3225790.0,3.18,19.33,17.5,2025,07,Q3
202508,양천구,3160538.0,3.12,18.25,16.43,2025,08,Q3
202509,양천구,3185969.0,3.12,16.48,17.3,2025,09,Q3
202510,양천구,3197432.0,3.09,19.15,16.67,2025,10,Q4
202511,양천구,3238685.0,3.13,16.57,14.57,2025,11,Q4
202512,양천구,3094940.0,3.08,18.72,16.33,2025,12,Q4
202501,영등포구,8005561.0,2.79,11.65,17.83,2025,01,Q1
202502,영등포구,8262051.0,2.83,10.83,16.9,2025,02,Q1
202503,영등포구,9496180.0,2.86,11.98,21.33,2025,03,Q1
202504,영등포구,9253630.0,2.77,8.95,14.27,2025,04,Q2
202505,영등포구,9943674.0,2.93,13.3,19.63,2025,05,Q2
202506,영등포구,9349901.0,2.82,10.2,15.13,2025,06,Q2
202507,영등포구,9947127.0,2.9,12.0,17.5,2025,07,Q3
202508,영등포구,9423864.0,2.78,10.6,16.43,2025,08,Q3
202509,영등포구,9881110.0,2.81,10.35,17.3,2025,09,Q3
