분류,자치구,공연/행사명,날짜,장소,기관명,시작일,종료일,X좌표(WGS84),Y좌표(WGS84),X좌표(GRS80TM),Y좌표(GRS80TM)
국악,강동구,[강동문화재단] 목요예술무대Ⅲ [제비씨의 크리스마스],2025-12-25~2025-12-25, 강동아트센터 소극장 드림,강동문화재단,2025.12.25 0:00,2025.12.25 0:00,127.1573425,37.55122046,969733.1318945776,1950264.040506302
클래식,동대문구,[동대문문화재단] 동행: 동대문에 퍼지는 음악의 향기,2025-12-24~2026-01-23,"동답초등학교, 선농단역사문화관, 동대문구 아르코",동대문문화재단,2025.12.24 0:00,2026.1.23 0:00,127.0318885,37.58118377,958668.3088111576,1953636.101169942
전시/미술,종로구,"신현욱 12회 개인전 [심혼, 진혼의 손길]",2025-12-24~2025-12-30,"미림아트갤러리(서울 종로구 인사동길 11-1, 3F)",기타,2025.12.24 0:00,2025.12.30 0:00,126.9866811,37.57185276,954671.059572014,1952621.720340228
전시/미술,강남구,2025 서울아트쇼,2025-12-24~2025-12-28,코엑스 A홀,기타,2025.12.24 0:00,2025.12.28 0:00,127.059159,37.51182391,961040.076085128,1945929.366482106
뮤지컬/오페라,노원구,[노원문화재단] 뮤지컬 [김종욱 찾기]부터 [푸른 사자 와니니]까지 [김혜성 찾기],2025-12-24~2025-12-25,노원문화예술회관 대공연장,노원문화재단,2025.12.24 0:00,2025.12.25 0:00,127.0802671,37.65023685,962974.1523099073,1961277.0507001863
클래식,강북구,[세종문화회관 꿈의숲] 꿈의숲 크리스마스 콘서트 [선물],2025-12-24~2025-12-25,꿈의숲 콘서트홀,세종문화회관,2025.12.24 0:00,2025.12.25 0:00,127.0443247,37.62025446,959787.3985020012,1957965.417404323
국악,중구,국립국악관현악단 [2025 윈터 콘서트],2025-12-24~2025-12-24,국립극장 해오름,국립극장,2025.12.24 0:00,2025.12.24 0:00,126.9992673,37.55199491,955770.761158916,1950412.595648736
뮤지컬/오페라,서초구,[서초문화원] 2025년 송년음악회 : 오페라 갈라 콘서트,2025-12-24~2025-12-24,서초문화예술회관 1층 아트홀,서초문화원,2025.12.24 0:00,2025.12.24 0:00,127.0359572,37.48182784,958973.1670694024,1942611.3563909424
전시/미술,중구,[서울시립미술관 서소문본관] 최재은: 약속,2025-12-23~2026-04-05,서울시립미술관 서소문본관 1층 전시실,서울시립미술관,2025.12.23 0:00,2026.4.5 0:00,126.9736993,37.56410607,953519.8719542116,1951768.6046231077
전시/미술,종로구,"[서울공예박물관] 금기숙 기증특별전 [Dancing, Dreaming, Enlightening]",2025-12-23~2026-03-15,"서울공예박물관 전시1동 로비, 1층, 3층",서울공예박물관,2025.12.23 0:00,2026.3.15 0:00,126.9835334,37.57664817,954396.0225058284,1953155.2712620024
전시/미술,영등포구,[영등포문화재단] 2025 현대미술기획전 [표면 없는 두께],2025-12-23~2026-01-08,영등포아트스퀘어,영등포문화재단,2025.12.23 0:00,2026.1.8 0:00,126.903716,37.51723326,947306.2801405716,1946605.2161633563
전시/미술,종로구,양아라 개인전 [공 생 존: 共 生 存],2025-12-23~2025-12-30,미앤갤러리,기타,2025.12.23 0:00,2025.12.30 0:00,126.9723496,37.5795262,953410.2796394506,1953480.0626295505
