분류,자치구,공연/행사명,날짜,장소,기관명,시작일,종료일,X좌표(WGS84),Y좌표(WGS84),X좌표(GRS80TM),Y좌표(GRS80TM)
독주/독창회,서대문구,이지선 피아노 독주회,2025-07-07~2025-07-07,금호아트홀연세,기타,2025.7.7 0:00,2025.7.7 0:00,126.9439162,37.56605084,950890.8400546394,1951999.51462261
교육/체험,노원구,[서울시립과학관] 7월 일상실험실: 실험 체험 프로그램,2025-07-06~2025-07-27,서울시립과학관 1층 별관 메이커스튜디오,서울시립과학관,2025.7.6 0:00,2025.7.27 0:00,127.0774371,37.64199411,962720.3891783686,1960363.6711775344
클래식,성동구,"아티스트라이브 2025 - Summer [현(絃), 시간을 수놓다]",2025-07-06~2025-07-06,서울시 성수동 스튜디오301,기타,2025.7.6 0:00,2025.7.6 0:00,127.0413188,37.54786264,959482.9145246868,1949935.188535644
콘서트,서초구,이창형 & 손창인 더블베이스 듀오 리사이틀,2025-07-06~2025-07-06,예술의전당 리사이틀홀,기타,2025.7.6 0:00,2025.7.6 0:00,127.0142152,37.4802402,957049.9983933078,1942444.914082444
전시/미술,송파구,[서울시립미술관] 자치구 협력전시 《SeMA Collection: 도시예찬》,2025-07-05~2025-09-28,더 갤러리 호수 전시실,서울시립미술관,2025.7.5 0:00,2025.9.28 0:00,127.1076175,37.51229652,965322.8992522676,1945962.8373220311
교육/체험,관악구,[싱글벙글교육센터] 2025 생활밀착형 문화예술교육지원사업 [가가호호],2025-07-05~2025-09-27,싱글벙글교육센터,금천문화재단,2025.7.5 0:00,2025.9.27 0:00,126.9562881,37.47609625,951925.7599220094,1942013.168454009
교육/체험,중구,2025 꿈다락 문화예술학교 [K-POP 댄스톡톡!(Dance Tok Tok)],2025-07-05~2025-09-14,"무대위사람들 복합문화공간 (서울특별시 중구 동호로24길 19-17, 평안빌딩 B1)",기타,2025.7.5 0:00,2025.9.14 0:00,127.0048502,37.55986782,956268.497710947,1951283.4417244387
전시/미술,중구,"[서소문성지 역사박물관] 바티칸 선교박람회 개최 100주년 기념 특별기획전 [Anima Mundi, 아니마문디: 세상의 영혼들]",2025-07-05~2025-09-14,지하 2층 기획전시실   ,중구청,2025.7.5 0:00,2025.9.14 0:00,126.9688672,37.56056785,953090.9045317142,1951378.4574700487
교육/체험,광진구,[서울상상나라] 반짝반짝 여름 빛 바캉스,2025-07-05~2025-08-31,서울상상나라 지하1층 빛의 방,서울상상나라,2025.7.5 0:00,2025.8.31 0:00,127.077569,37.55055,962686.390393258,1950218.330585012
교육/체험,도봉구,[도봉문화재단] 청소년예술공간 채움 [취미채움소],2025-07-05~2025-08-30,청소년예술공간 채움,도봉문화재단,2025.7.5 0:00,2025.8.30 0:00,127.0449195,37.6897507,959877.3020018574,1965675.5244916189
전시/미술,송파구,기억의 변주를 디디고선. Building upon the Variations of Memory [이도소 서울 개인전],2025-07-05~2025-08-17,갤러리 무모,기타,2025.7.5 0:00,2025.8.17 0:00,127.1110266,37.50272019,965619.7906283124,1944899.155254237
교육/체험,도봉구,2025 김근태기념도서관 기획 전시 연계 라키비움 해설 [도슨트ON],2025-07-05~2025-08-17,김근태기념도서관 전관,도봉구청,2025.7.5 0:00,2025.8.17 0:00,127.0440199,37.68766744,959796.862705253,1965444.7783907608
연극,종로구,연극 [2시 22분 - A GHOST STORY],2025-07-05~2025-08-16,세종M씨어터,세종문화회관,2025.7.5 0:00,2025.8.16 0:00,126.9760053,37.5726241,953728.7969967966,1952712.5005738556
기타,마포구,[마포구립서강도서관] 7월/팟캐스트 서강도서관 피셜 57회 [꽃에 미친 김 군],2025-07-05~2025-08-05,온라인(팟빵),마포구청,2025.7.5 0:00,2025.8.5 0:00,126.9320618,37.54773473,949831.6609301452,1949973.6924081007
교육/체험,광진구,[서울상상나라] 노릇노릇 이야기 빵,2025-07-05~2025-07-27,서울상상나라 지하 1층 요리 놀이실,서울상상나라,2025.7.5 0:00,2025.7.27 0:00,127.077569,37.55055,962686.390393258,1950218.330585012
교육/체험,광진구,[서울상상나라] 삼계 수제비,2025-07-05~2025-07-27,서울상상나라 지하1층 요리놀이실,서울상상나라,2025.7.5 0:00,2025.7.27 0:00,127.077569,37.55055,962686.390393258,1950218.330585012
교육/체험,서초구,[서초문화재단] 2025 국악기 탐구생활 - 7월 프로그램,2025-07-05~2025-07-26,서리풀아트스튜디오 및 국립국악원,서초문화재단,2025.7.5 0:00,2025.7.26 0:00,127.0098185,37.47771881,956659.8114596568,1942167.1973499504
교육/체험,종로구,[세종문화회관] 세종 인스피레이션 [일무의 시간],2025-07-05~2025-07-26,"분재 식물 스튜디오 오이타他, 한국화 화실 아가화",세종문화회관,2025.7.5 0:00,2025.7.26 0:00,126.9697584,37.57894821,953181.121953985,1953417.2255109767
교육/체험,중구,[서울남산국악당] 엄마아빠 행복 프로젝트 [우리가족 국악캠프],2025-07-05~2025-07-26,"서울남산국악당 체험실, 연습실",서울남산국악당,2025.7.5 0:00,2025.7.26 0:00,126.9940216,37.55834995,955311.2056256016,1951120.1353555543
교육/체험,구로구,[구로문화재단] 문화예술교육 [가족연극교실],2025-07-05~2025-07-26,구로창의아트홀,구로문화재단,2025.7.5 0:00,2025.7.26 0:00,126.8658154,37.49829159,943942.7998464928,1944525.644096979
뮤지컬/오페라,마포구,[마포문화재단] 2025 마포문화재단 가족ㆍ어린이 축제 [해피 썸머 와글와글] 달님이 주신 아이,2025-07-05~2025-07-20,마포아트센터 플레이맥,마포문화재단,2025.7.5 0:00,2025.7.20 0:00,126.9455338,37.54990609,951023.1291955884,1950207.4899084808
전시/미술,관악구,"[관악문화재단] 박원경 개인전 [이 거리의 유토피아 -별빛 아래, 우리]",2025-07-05~2025-07-20,관천로 문화플랫폼 S1472,관악문화재단,2025.7.5 0:00,2025.7.20 0:00,126.9257749,37.4841128,949233.2266522256,1942918.5693085664
전시/미술,종로구,[서울생활문화센터 낙원] 시민기획전시 [현대 궁궐사진의 네가지 방향성] 展,2025-07-05~2025-07-15,서울문화센터 낙원 (갤러리 1),서울생활문화센터-낙원,2025.7.5 0:00,2025.7.15 0:00,126.9879025,37.57276352,954779.4674924712,1952722.176222053
전시/미술,종로구,[서울생활문화센터 낙원] 현대 궁궐 사진의 네 가지 방향성展,2025-07-05~2025-07-15,서울생활문화센터 낙원 역사갤러리(1번),서울생활문화센터-낙원,2025.7.5 0:00,2025.7.15 0:00,126.9879025,37.57276352,954779.4674924712,1952722.176222053
무용,강동구,[강동문화재단] 국립현대무용단 [얍얍얍],2025-07-05~2025-07-06,강동아트센터 소극장 드림,강동문화재단,2025.7.5 0:00,2025.7.6 0:00,127.1573425,37.55122046,969733.1318945776,1950264.040506302
뮤지컬/오페라,강남구,[강남문화재단] 배리어프리 뮤지컬 [장영실과 함께하는 별별 GPT],2025-07-05~2025-07-05,"강남씨어터(역삼1동복합문화센터 3층, 강남구 역삼로 7길 16)",강남문화재단,2025.7.5 0:00,2025.7.5 0:00,127.0332838,37.49537321,958744.2559279798,1944115.293929676
클래식,종로구,2025 꿈나무 토요음악회 - 춤추는 클래식,2025-07-05~2025-07-05,세종체임버홀,세종문화회관,2025.7.5 0:00,2025.7.5 0:00,126.9760053,37.5726241,953728.7969967966,1952712.5005738556
무용,광진구,[광진문화재단] 나루아트센터 재개관 기념공연 [지젤],2025-07-05~2025-07-05,나루아트센터  대공연장,광진문화재단,2025.7.5 0:00,2025.7.5 0:00,127.070576,37.53757063,962062.114331774,1948781.14232423
클래식,송파구,[한성백제박물관] 2025년 시민동행콘서트 2회차 [꿈을 꾸다],2025-07-05~2025-07-05,한성백제홀,한성백제박물관,2025.7.5 0:00,2025.7.5 0:00,127.1208894,37.51543881,966497.222712819,1946306.6454456863
교육/체험,은평구,"문예북흥 No.29 오동진 - 영화평론가 오동진의 특급 Express, 90년대로 타임슬립하는 [왕가위의 시간]",2025-07-05~2025-07-05,이호철북콘서트홀,은평역사한옥박물관,2025.7.5 0:00,2025.7.5 0:00,126.9264997,37.6139965,949385.2123380104,1957328.1270995813
교육/체험,강동구,[천호도서관] 자기주도학습은 용돈교육에서 시작한다. [김선작가의 저자강연],2025-07-05~2025-07-05,천호도서관 2층 키움방,강동구청,2025.7.5 0:00,2025.7.5 0:00,127.1340815,37.54052322,967673.866461992,1949084.988261795
뮤지컬/오페라,관악구,[관악문화재단] 2025 관악아트홀 예술로동행 [뮤지컬갈라 콘서트],2025-07-05~2025-07-05,관악아트홀 공연장,관악문화재단,2025.7.5 0:00,2025.7.5 0:00,126.9449624,37.46755336,950918.7635116624,1941071.2328111068
축제-문화/예술,구로구,[구로구청] 찾아가는 골목상권 버스킹음악회,2025-07-04~2025-10-25,구로구 관내 야외 버스킹 공간 15곳,구로구청,2025.7.4 0:00,2025.10.25 0:00,126.9008534,37.48383565,947029.72085919,1942901.5509938656
콘서트,종로구,[종로문화재단] 2025 어디나 스테이지 7월 공연,2025-07-04~2025-08-28,보신각공원/ 젊음의거리/ 묘동사거리/ 창신초등학교,종로문화재단,2025.7.4 0:00,2025.8.28 0:00,126.9836776,37.56976739,954404.5605094272,1952391.8118503252
전시/미술,종로구,[2025 신진미술인 지원 프로그램] 박나라 개인전 《제스처들》,2025-07-04~2025-07-27,보안1942 아트스페이스 보안 2,서울시립미술관,2025.7.4 0:00,2025.7.27 0:00,126.9736303,37.57911789,953523.1080703072,1953434.1281764333
국악,중구,2025 여우락 페스티벌,2025-07-04~2025-07-26,"국립극장 달오름, 하늘",국립극장,2025.7.4 0:00,2025.7.26 0:00,126.9992673,37.55199491,955770.761158916,1950412.595648736
교육/체험,중구,[남산골한옥마을] 덜미인형 미니 콘테스트(Making Dulmi mini contest),2025-07-04~2025-07-19,남산골한옥마을 민씨가옥,남산골한옥마을,2025.7.4 0:00,2025.7.19 0:00,126.9944401,37.55930493,955348.7383307692,1951225.886590629
교육/체험,종로구,"[서울공예박물관] 책장 속 한 땀 (7월 4일, 11일)",2025-07-04~2025-07-11,전시3동 1층 교육실,서울공예박물관,2025.7.4 0:00,2025.7.11 0:00,126.9835334,37.57664817,954396.0225058284,1953155.2712620024
클래식,종로구,"[세종문화회관] 루시드폴, 정마리, 부지현 on Sync Next 25",2025-07-04~2025-07-06,세종S씨어터,세종문화회관,2025.7.4 0:00,2025.7.6 0:00,126.9760053,37.5726241,953728.7969967966,1952712.5005738556
전시/미술,마포구,"우화 : 나다움 (Being me, Loving it!)",2025-07-04~2025-07-05,"서울 마포구 연희로1길 45-4 2층, 아트베이커리",기타,2025.7.4 0:00,2025.7.5 0:00,126.9236743,37.55689041,949096.9794087462,1950993.979008727
클래식,강동구,[강동문화재단] 손열음 X 고잉홈프로젝트,2025-07-04~2025-07-05,강동아트센터 대극장 한강,강동문화재단,2025.7.4 0:00,2025.7.5 0:00,127.1573425,37.55122046,969733.1318945776,1950264.040506302
전시/미술,중구,[서울시립미술관 서소문본관] 2025년 7월 서울 문화의 밤 [수어 통역 전시 해설],2025-07-04~2025-07-04,서울시립미술관 서소문본관 관내,서울시립미술관,2025.7.4 0:00,2025.7.4 0:00,126.9736993,37.56410607,953519.8719542116,1951768.6046231077
교육/체험,종로구,[서울공예박물관] 7월 큐레이터와 함께하는 전시해설 | 《염원을 담아》,2025-07-04~2025-07-04,"서울공예박물관 전시1동 1층, 3층",서울공예박물관,2025.7.4 0:00,2025.7.4 0:00,126.9835334,37.57664817,954396.0225058284,1953155.2712620024
교육/체험,구로구,[서울아트책보고] 힙독클럽 북토크 [상상력과 업사이클링: 김초엽 작가의 이야기],2025-07-04~2025-07-04,서울아트책보고 열린무대,서울아트책보고,2025.7.4 0:00,2025.7.4 0:00,126.8670887,37.49821257,944055.292337661,1944516.1196441173
클래식,중랑구,[중랑문화재단] Fly Me to the Moon : 클래식 재즈와 라틴 음악이 만나다,2025-07-04~2025-07-04,중랑구청 대강당,중랑문화재단,2025.7.4 0:00,2025.7.4 0:00,127.0927248,37.60656359,964052.0580524747,1956426.8420683024
클래식,송파구,[서울시립교향악단] 2025 서울시향 임지영의 베토벤 바이올린 협주곡,2025-07-04~2025-07-04,롯데콘서트홀,서울시립교향악단,2025.7.4 0:00,2025.7.4 0:00,127.1044469,37.51375196,965043.3727478888,1946125.4822905725
뮤지컬/오페라,노원구,[서울시립북서울미술관] 7월 뮤지엄 나이트 금요樂_가족뮤지컬 [해와 달이된 오누이],2025-07-04~2025-07-04,서울시립북서울미술관 다목적홀,서울시립북서울미술관,2025.7.4 0:00,2025.7.4 0:00,127.0668656,37.64066045,961787.05599691,1960219.9602199816
클래식,종로구,헤르첸 앙상블 제3회 정기연주회 [파르베 시리즈 Ⅲ : Violett],2025-07-04~2025-07-04,세종문화회관 세종체임버홀,기타,2025.7.4 0:00,2025.7.4 0:00,126.9760053,37.5726241,953728.7969967966,1952712.5005738556
교육/체험,서대문구,"[청년예술청 STEP-UP 실무강의] 접근성 공연 만들기: 환대의 감각, 환영의 공간 (이청 배우?접근성 창작자(플랫폼안녕 대표))",2025-07-04~2025-07-04,서울문화재단 청년예술청 그레이홀,서울문화재단,2025.7.4 0:00,2025.7.4 0:00,126.9621924,37.56102262,952501.6773985906,1951432.2643371092
교육/체험,동대문구,[용두어린이영어도서관]2025년 지혜학교 [두 도시 이야기: 여행으로 읽는 도시 인문학],2025-07-03~2025-10-30,용두어린이영어도서관 5층 강의실,동대문문화재단,2025.7.3 0:00,2025.10.30 0:00,127.0303279,37.57610447,958527.6983553044,1953073.265542912
교육/체험,성북구,[서울문화재단] 2025 PLAY-UP 아카데미 모집 [극작수업 - 희곡창작워크숍 강사 김은성],2025-07-03~2025-10-16,서울연극창작센터 (서울시 성북구 성북로 8),서울문화재단,2025.7.3 0:00,2025.10.16 0:00,127.0060408,37.58921794,956390.7709288571,1954539.1408133768
교육/체험,마포구,[서울생활문화센터 서교] 낭독 라라라 [해설이 있는 그리스 비극 낭독회],2025-07-03~2025-08-07,서울 생활문화센터 서교 커뮤니티실,서울생활문화센터-서교,2025.7.3 0:00,2025.8.7 0:00,126.916494,37.55081382,948458.6006566162,1950323.7236219144
전시/미술,은평구,[구립증산정보도서관] 책 따라 걷는 도서관 - 7월 온라인 원화 전시 [4번 달걀의 비밀],2025-07-03~2025-07-30,구립증산정보도서관 홈페이지 → 공지사항,기타,2025.7.3 0:00,2025.7.30 0:00,126.9076713,37.58280944,947701.6546022428,1953878.3655357205
교육/체험,중랑구,[중랑문화재단] 창의융합 유아동 예술프로그램 [말랑말랑 중랑] 7월,2025-07-03~2025-07-29,중랑아트센터 프로그램실,중랑문화재단,2025.7.3 0:00,2025.7.29 0:00,127.0916241,37.59833282,963950.9334213329,1955514.0988323304
전시/미술,종로구,[2025 신진미술인 지원 프로그램] 박서연 개인전 《점을 쫓는 자》,2025-07-03~2025-07-27,보안 1942 아트스페이스 보안 1,서울시립미술관,2025.7.3 0:00,2025.7.27 0:00,126.9736303,37.57911789,953523.1080703072,1953434.1281764333
전시/미술,용산구,[서울장애예술창작센터] 장애예술기획전 [상황과 이야기],2025-07-03~2025-07-20,노들섬 노들갤러리 2관,노들섬,2025.7.3 0:00,2025.7.20 0:00,126.9580365,37.51766383,952106.9064976412,1946623.9459556364
전시/미술,용산구,전시 [Void 틈],2025-07-03~2025-07-19,갤러리더씨(서울시 용산구 임정로35 2층),기타,2025.7.3 0:00,2025.7.19 0:00,126.958603,37.54314985,952173.2447740308,1949451.1915705984
교육/체험,종로구,"[서울공예박물관] 책장 속 한 땀 (7월 3일, 10일)",2025-07-03~2025-07-10,서울공예박물관 전시3동,서울공예박물관,2025.7.3 0:00,2025.7.10 0:00,126.9835334,37.57664817,954396.0225058284,1953155.2712620024
축제-기타,중구,남대문 악세서리와의 만남! 2025 빛남만남 축제,2025-07-03~2025-07-04,숭례문 앞 광장,기타,2025.7.3 0:00,2025.7.4 0:00,126.9751688,37.55925407,953646.6454271958,1951229.5736543236
교육/체험,은평구,[STAND-UP 아카데미] 예술적으로 삶은 브랜딩(진행자 : YAll 김인철),2025-07-03~2025-07-03,서울예술인지원센터(서울시 종로구 동숭길 122),서초문화재단,2025.7.3 0:00,2025.7.3 0:00,127.0037167,37.583699,956182.3511819724,1953927.921715675
클래식,종로구,[공간 소리] 제5회 소리로 잇다,2025-07-03~2025-07-03,세종체임버홀,세종문화회관,2025.7.3 0:00,2025.7.3 0:00,126.9760053,37.5726241,953728.7969967966,1952712.5005738556
교육/체험,마포구,2025년 길 위의 인문학 [포스트휴먼 시대의 치유-접히고 펼쳐지는 감각의 회복] 연결되는 시간,2025-07-03~2025-07-03,홍익대학교 홍문관(R동) 1013호,기타,2025.7.3 0:00,2025.7.3 0:00,126.9249906,37.55251925,949210.2738583926,1950508.308082724
전시/미술,종로구,김선형 개인전 [My One and Only Blue],2025-07-02~2025-08-02,갤러리 지우헌 전시장,기타,2025.7.2 0:00,2025.8.2 0:00,126.9829994,37.58338339,954352.9822294292,1953902.7717218208
교육/체험,중구,[서울시립미술관 서소문본관] 2025 SeMA 도슨트 양성교육,2025-07-02~2025-07-31,서울시립미술관 서소문본관 B1 세마홀,서울시립미술관,2025.7.2 0:00,2025.7.31 0:00,126.9736993,37.56410607,953519.8719542116,1951768.6046231077
교육/체험,마포구,[마포구립서강도서관] 7월/영유아 2025 마포구 특성화 사업 북앤펀 [말놀이 잘잘잘],2025-07-02~2025-07-26,마포구립서강도서관 4층 어린이자료실 꼬마방,마포구청,2025.7.2 0:00,2025.7.26 0:00,126.9320618,37.54773473,949831.6609301452,1949973.6924081007
콘서트,중구,2025 문화가 흐르는 서울광장 7월,2025-07-02~2025-07-16,서울광장,서울시청,2025.7.2 0:00,2025.7.16 0:00,126.9776978,37.56533387,953873.7581932576,1951902.8528827687
전시/미술,광진구,"[세종뮤지엄갤러리 기획초대전] 내면의 소리, 감각의 공명 전성호",2025-07-02~2025-07-15,세종대학교 대양 AI센터 지하 1층/ 세종뮤지엄갤러리 1관,기타,2025.7.2 0:00,2025.7.15 0:00,127.0745756,37.55079808,962422.1046861964,1950247.0460131797
전시/미술,광진구,"[세종뮤지엄갤러리 기획초대전] 반복과 비움, 몰입의 회화 - 류지수",2025-07-02~2025-07-13,세종뮤지엄갤러리 2관,기타,2025.7.2 0:00,2025.7.13 0:00,127.0745756,37.55079808,962422.1046861964,1950247.0460131797
콘서트,종로구,[운현궁 브런치 버스킹 쉬라궁] 7월 일정 안내,2025-07-02~2025-07-11,운현궁,운현궁,2025.7.2 0:00,2025.7.11 0:00,126.9870834,37.57607865,954709.1445728176,1953090.3684927616
교육/체험,서대문구,[청년예술청 STEP-UP 실무강의] 청년예술가를 위한 회계와 세무 첫걸음 (심재용 회계사),2025-07-02~2025-07-02,서울문화재단 청년예술청 그레이홀,서울문화재단,2025.7.2 0:00,2025.7.2 0:00,126.9621924,37.56102262,952501.6773985906,1951432.2643371092
교육/체험,노원구,[서울시립 북서울미술관] 《그림이라는 별세계: 이건희컬렉션과 함께》 전시 연계 서울시립미술관장 특강 [한국근대미술의 천재들],2025-07-02~2025-07-02,서울시립 북서울미술관 B1 다목적홀,서울시립미술관,2025.7.2 0:00,2025.7.2 0:00,127.0668656,37.64066045,961787.05599691,1960219.9602199816
클래식,서초구,김정훈 바이올린 독주회,2025-07-02~2025-07-02,예술의전당 리사이틀홀,기타,2025.7.2 0:00,2025.7.2 0:00,127.0142152,37.4802402,957049.9983933078,1942444.914082444
교육/체험,동대문구,[용두어린이영어도서관] 2025 하반기 르네상스 러닝,2025-07-01~2025-12-31,용두어린이영어도서관 4층 아동열람실,동대문문화재단,2025.7.1 0:00,2025.12.31 0:00,127.0303279,37.57610447,958527.6983553044,1953073.265542912
교육/체험,관악구,[관악문화재단] 싱글벙글교육센터 3분기 평생학습 교육프로그램,2025-07-01~2025-09-30,싱글벙글교육센터,관악문화재단,2025.7.1 0:00,2025.9.30 0:00,126.9562881,37.47609625,951925.7599220094,1942013.168454009
전시/미술,강서구,[서울식물원] 2025 주제정원 여름전시 [물 위의 팔레트] 모네와 함께하는 식물 여행,2025-07-01~2025-08-31,서울식물원 주제정원,서울식물원,2025.7.1 0:00,2025.8.31 0:00,126.8350072,37.56965709,941275.5407502056,1952462.1011008124
기타,강서구,[서울식물원] 2025년 서울식물원 물놀이터,2025-07-01~2025-08-31,호수원 수변가로(정확한 위치는 아래 지도 이미지를 참조하세요.),서울식물원,2025.7.1 0:00,2025.8.31 0:00,126.8350072,37.56965709,941275.5407502056,1952462.1011008124
교육/체험,송파구,[송파 청년아티스트센터] 예술가와 함께하는 풍납 탐구 생활 7월 프로그램,2025-07-01~2025-07-31,송파 청년아티스트센터 1층,송파구청,2025.7.1 0:00,2025.7.31 0:00,127.1159547,37.53406864,966069.57009739,1948375.2774486344
교육/체험,마포구,[마포구립서강도서관] 7월 문화프로그램,2025-07-01~2025-07-31,마포구립서강도서관,마포구청,2025.7.1 0:00,2025.7.31 0:00,126.9320618,37.54773473,949831.6609301452,1949973.6924081007
영화,중구,[청춘극장] 2025년 7월 영화 및 공연 프로그램,2025-07-01~2025-07-31,청춘극장 문화일보홀,서울시청,2025.7.1 0:00,2025.7.31 0:00,126.9686898,37.56710886,953079.3393149514,1952104.238912073
전시/미술,마포구,[서울생활문화센터 서교] 굿페인터스 VOL.2 [한여름 소낙비처럼],2025-07-01~2025-07-30,서울생활문화센터 서교 로비,서울생활문화센터-서교,2025.7.1 0:00,2025.7.30 0:00,126.916494,37.55081382,948458.6006566162,1950323.7236219144
교육/체험,중랑구,[중랑문화재단] 2025 중랑아트센터 [나대기 예술아카데미] 7월 프로그램,2025-07-01~2025-07-30,중랑아트센터 프로그램실 / 시청각실,중랑문화재단,2025.7.1 0:00,2025.7.30 0:00,127.0916241,37.59833282,963950.9334213329,1955514.0988323304
교육/체험,성동구,"[청계천박물관] 7월 개방형교육 [우리들의 친구, 청계천박물관]",2025-07-01~2025-07-29,청계천박물관 교육실,청계천박물관,2025.7.1 0:00,2025.7.29 0:00,127.0350432,37.57126617,958941.4080045176,1952534.409517645
전시/미술,종로구,"[서울역사박물관] 얕은 새김 안에 담긴 깊은 삶의 이야기 [글자의 깊이, 1.5mm]",2025-07-01~2025-07-27,서울역사박물관 1층 로비전시실,서울역사박물관,2025.7.1 0:00,2025.7.27 0:00,126.9705237,37.57050753,953243.4191009022,1952480.39082138
교육/체험,영등포구,[서울외국인주민센터] 세계문화체험 [일상 속 세계정거장_남미편],2025-07-01~2025-07-25,서울외국인주민센터,기타,2025.7.1 0:00,2025.7.25 0:00,126.8974094,37.50473643,946740.0802157632,1945222.3132949544
교육/체험,구로구,[서울아트책보고] 조선의 건국과 왕의 역사,2025-07-01~2025-07-22,서울아트책보고 워크숍룸,서울아트책보고,2025.7.1 0:00,2025.7.22 0:00,126.8670887,37.49821257,944055.292337661,1944516.1196441173
기타,중구,서울시 중장년 일자리박람회 2025,2025-07-01~2025-07-02,"동대문 디자인 플라자(DDP) 아트홀2관, 컨퍼런스 홀",동대문디자인플라자(DDP),2025.7.1 0:00,2025.7.2 0:00,127.0097797,37.56735732,956708.2068994156,1952112.0812737872
전시/미술,중구,[중구문화재단] 충무아트센터 개관 20주년 기념 전시 [더 글로리어스 월드],2025-07-01~2025-07-01,충무아트센터 갤러리(G층),중구문화재단,2025.7.1 0:00,2025.7.1 0:00,127.0147909,37.56594097,957149.9418754115,1951952.6476190093
영화,서초구,[서초문화재단] 2025 심산 영화관 [로큰롤인생],2025-07-01~2025-07-01,심산기념문화센터 반포심산아트홀,서초문화재단,2025.7.1 0:00,2025.7.1 0:00,126.9912425,37.49883446,955030.0334355916,1944518.5547814665
클래식,종로구,정지강 윤형숙 피아노 듀오 리사이틀 - Masterpiece Reimagined I,2025-07-01~2025-07-01,세종체임버홀,세종문화회관,2025.7.1 0:00,2025.7.1 0:00,126.9760053,37.5726241,953728.7969967966,1952712.5005738556
국악,서초구,조혜령 해금 독주회 TUNE:조율하다,2025-07-01~2025-07-01,국립국악원 우면당,국립국악원,2025.7.1 0:00,2025.7.1 0:00,127.0098185,37.47771881,956659.8114596568,1942167.1973499504
교육/체험,용산구,"[용산역사박물관] 인문학, 용산공방",2025-06-30~2025-11-28,용산역사박물관 ,용산구청,2025.6.30 0:00,2025.11.28 0:00,126.9657694,37.52566804,952795.3080882606,1947508.058892311
교육/체험,중구,"2025 꿈다락 문화예술학교 [청춘 스트릿, 락킹한 순간]",2025-06-30~2025-09-14,"무대위사람들 복합문화공간 (서울특별시 중구 동호로24길 19-17, 평안빌딩 B1)",기타,2025.6.30 0:00,2025.9.14 0:00,127.0048502,37.55986782,956268.497710947,1951283.4417244387
독주/독창회,서대문구,김한돌 피아노 독주회,2025-06-30~2025-06-30,금호아트홀연세,기타,2025.6.30 0:00,2025.6.30 0:00,126.9439162,37.56605084,950890.8400546394,1951999.51462261
클래식,영등포구,[전문연주자시리즈] 강동엽 비올라 독주회,2025-06-30~2025-06-30,영산아트홀,기타,2025.6.30 0:00,2025.6.30 0:00,126.9248927,37.52927196,949185.8513513416,1947929.1935170835
교육/체험,성동구,[성동문화재단] 2025 가가호호 [댄스로 톡톡!],2025-06-29~2025-07-20,소월아트홀 2층 연습실 A,성동문화재단,2025.6.29 0:00,2025.7.20 0:00,127.0360064,37.55930723,959019.9143347088,1951207.2066893373
클래식,서초구,바로크비올라 장민경 & 첼로 정영안 듀오 리사이틀,2025-06-29~2025-06-29,예술의전당 리사이틀홀,기타,2025.6.29 0:00,2025.6.29 0:00,127.0142152,37.4802402,957049.9983933078,1942444.914082444
독주/독창회,서대문구,정진우 바이올린 독주회 ,2025-06-29~2025-06-29,금호아트홀 연세 ,기타,2025.6.29 0:00,2025.6.29 0:00,126.9439162,37.56605084,950890.8400546394,1951999.51462261
교육/체험,중구,[서울생활문화센터 낙원] 낙원 문화로드 5회 [덕수궁과 정동길을 걷습니다],2025-06-29~2025-06-29,덕수궁,서울생활문화센터-낙원,2025.6.29 0:00,2025.6.29 0:00,126.9744616,37.56771545,953589.4342002512,1952168.670875348
교육/체험,강남구,2025년도 글로벌라이프허브 전문가 세미나 제6강 [누구나 필요한 성범죄 예방교육],2025-06-29~2025-06-29,현대백화점 무역센터점 11층 문화센터 제3강의실,기타,2025.6.29 0:00,2025.6.29 0:00,127.0621609,37.50741394,961303.0978713476,1945438.8694757463
교육/체험,노원구,[서울시립과학관] 과학북토크: 달작한 사이언스 (6월) [일상을 바꾼 과학 기술 이야기],2025-06-29~2025-06-29,서울시립과학관 1층 사이언스홀,서울시립과학관,2025.6.29 0:00,2025.6.29 0:00,127.0774371,37.64199411,962720.3891783686,1960363.6711775344
전시/미술,용산구,[서울시립미술관] 2025 신진미술인 지원 프로그램 양윤화 개인전 《오렌지》,2025-06-28~2025-07-05,LDK (서울시 용산구 한남동 653-4),서울시립미술관,2025.6.28 0:00,2025.7.5 0:00,127.0035086,37.53312802,956134.3407332426,1948317.4303832809
연극,구로구,[구로문화재단] 베이비씨어터 [얼굴과 얼굴 - 마주;봄],2025-06-28~2025-06-29,구로창의아트홀,구로문화재단,2025.6.28 0:00,2025.6.29 0:00,126.8658154,37.49829159,943942.7998464928,1944525.644096979
클래식,성북구,[성북문화재단] 클래식라운지 [테너 존노 가곡 리사이틀],2025-06-28~2025-06-28,"꿈빛극장 (서울 성북구 길음로 7길 20, 서울성북미디어문화마루 4층)",성북문화재단,2025.6.28 0:00,2025.6.28 0:00,127.0222037,37.60375521,957825.9283998072,1956144.6032435545
교육/체험,은평구,문예북흥 No.28 문태준 - 문태준 시인의 제주 살이 다섯 해가 풀풀풀풀풀 「풀의 탄생」으로 솟아나다. 제주의 자연이 시의 자연으로 스스로 그러하게 태어나다.,2025-06-28~2025-06-28,이호철북콘서트홀,은평역사한옥박물관,2025.6.28 0:00,2025.6.28 0:00,126.9264997,37.6139965,949385.2123380104,1957328.1270995813
