상세영업상태명,소재지전체주소,도로명전체주소,사업장명,숙박업상세명,X좌표(Bessel),Y좌표(Bessel),X좌표(WGS84),Y좌표(WGS84),X좌표(GRS80TM),Y좌표(GRS80TM),geometry,자치구,행정동,ADSTRD_CD,ADSTRD_NM
영업,서울특별시 종로구 인의동 89-15,서울특별시 종로구 창경궁로 123-20 (인의동),이스트 아뜰리에,관광호텔,199636.410863155,452376.667974027,126.99667198886418,37.57368142694969,955554.4038753746,1952819.8291384208,POINT (955554.4038753746 1952819.8291384208),종로구,인의동,11110615,종로1·2·3·4가동
영업,서울특별시 중구 장충동2가 36-5,서울특별시 중구 동호로30길 27-6 (장충동2가),동림여관,숙박업(생활),200339.948874018,451007.867633081,127.00463552672277,37.56134875327518,956250.4036663636,1951447.8435648475,POINT (956250.4036663637 1951447.8435648475),중구,장충동2가,11140580,장충동
영업,서울특별시 관악구 신림동 1422-26,"서울특별시 관악구 남부순환로181길 7, 1~13층 (신림동)",심도 호텔 앤 스파 신림역점,일반호텔,193821.989295085,442520.619144577,126.9309364679004,37.484858012476856,949690.060338175,1942998.4752924887,POINT (949690.060338175 1942998.4752924892),관악구,신림동,11620695,신림동
영업,서울특별시 광진구 광장동 334-12,"서울특별시 광진구 광장로 89, 2층 (광장동)",스테이42,관광호텔,209375.068351656,449558.030455124,127.10687776738808,37.54823889994729,965274.1919608926,1949950.6977294844,POINT (965274.1919608926 1949950.6977294844),광진구,광장동,11215810,광장동
영업,서울특별시 중구 명동2가 87-4,"서울특별시 중구 남대문로 66-1, 4~6층 (명동2가)",유후스테이 명동,일반호텔,198357.308994559,451193.911492637,126.9821953064519,37.563023448319626,954269.5384142868,1951644.3250778704,POINT (954269.5384142868 1951644.3250778704),중구,명동2가,11140550,명동
영업,서울특별시 종로구 숭인동 313-2,"서울특별시 종로구 지봉로 24-12, 5층 (숭인동)",U-STAY HOSTEL,관광호텔,201365.396263672,452247.733898196,127.01624387835264,37.57251892823461,957282.0159227432,1952681.7774737708,POINT (957282.0159227431 1952681.7774737708),종로구,숭인동,11110710,숭인2동
영업,서울특별시 중구 남산동2가 32-13,"서울특별시 중구 퇴계로18길 33, 1,5층 (남산동2가)",오요6(OYO6),관광호텔,198623.369754854,450781.146728928,126.98520749629188,37.55930493632496,954533.3052741324,1951230.3134795865,POINT (954533.3052741323 1951230.3134795865),중구,남산동2가,11140550,명동
영업,서울특별시 종로구 효제동 52 해와가,"서울특별시 종로구 대학로 35-23, 해와가 (효제동)",해와가,숙박업(생활),200027.040832181,452472.556810391,127.0010939160241,37.57454547197847,955945.3868479092,1952913.6081818007,POINT (955945.3868479091 1952913.6081818012),종로구,효제동,11110630,종로5·6가동
영업,서울특별시 강서구 마곡동 767,서울특별시 강서구 마곡중앙로 143 (마곡동),머큐어 서울 마곡,관광호텔,184522.907834771,451531.924488537,126.82560538680808,37.56593944038036,940442.3115693348,1952055.560421381,POINT (940442.3115693349 1952055.560421381),강서구,마곡동,11500630,방화1동
영업,서울특별시 종로구 충신동 88-1 ES dreamtower,"서울특별시 종로구 율곡로16길 16, ES dreamtower 3~7층 (충신동)",이에스드림타워,숙박업(생활),200239.745162441,452552.505345836,127.00350177640796,37.57526578219829,956158.4304203108,1952992.396811781,POINT (956158.4304203109 1952992.396811781),종로구,충신동,11110630,종로5·6가동
