기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권배후지_코드,상권배후지_코드_명,총_직장_인구_수,총_상주인구_수,총_유동인구_수,순수_유동인구_수,상권배후지_유형
20253,A,골목상권,3110988,청담역 3번,10080,4943,1011305,996282,오피스/직장형
20253,A,골목상권,3110987,영동대교남단,6886,4613,1405977,1394478,오피스/직장형
20253,A,골목상권,3110986,삼성중앙역 7번,15131,5950,2596188,2575107,오피스/직장형
20253,A,골목상권,3110985,청담근린공원,14518,4107,1309905,1291280,오피스/직장형
20253,A,골목상권,3110984,포이초등학교(개포목련어린이공원),3797,7829,2077450,2065824,오피스/직장형
20253,A,골목상권,3110983,국립국악고등학교,4357,13430,1841877,1824090,오피스/직장형
20253,A,골목상권,3110982,강남구보훈회관,4232,12630,2292800,2275938,오피스/직장형
20253,A,골목상권,3110981,국악고교사거리,6747,9522,2775638,2759369,오피스/직장형
20253,A,골목상권,3110980,개포지구대옆,17662,7961,1564598,1538975,오피스/직장형
20253,A,골목상권,3110979,청담초등학교,8722,3764,1313831,1301345,오피스/직장형
20253,A,골목상권,3110978,도곡2동주민센터(대치중학교),42630,3617,560790,514543,오피스/직장형
20253,A,골목상권,3110977,논현로18길,11872,6030,1393512,1375610,오피스/직장형
20253,A,골목상권,3110976,언북초등학교,12486,8291,3180537,3159760,오피스/직장형
20253,A,골목상권,3110975,매봉역 1번,35686,4765,1273793,1233342,오피스/직장형
20253,A,골목상권,3110974,언주중학교,12757,9264,2589954,2567933,오피스/직장형
20253,A,골목상권,3110973,강남구청역 4번,13838,10747,5035433,5010848,오피스/직장형
20253,A,골목상권,3110972,강남세브란스병원미래의학연구센터,15775,9208,2818882,2793899,오피스/직장형
20253,A,골목상권,3110971,선정릉역 4번,33623,10113,4306722,4262986,오피스/직장형
20253,A,골목상권,3110970,학동초등학교,12739,6791,2321326,2301796,오피스/직장형
20253,A,골목상권,3110969,베르사이유1아파트,39784,5680,3649852,3604388,오피스/직장형
20253,A,골목상권,3110968,강남구청역 2번,17981,4785,2995080,2972314,오피스/직장형
20253,A,골목상권,3110967,역삼역 8번,31760,5988,3302079,3264331,오피스/직장형
20253,A,골목상권,3110966,논현2동주민센터,24612,7133,4548796,4517051,오피스/직장형
20253,A,골목상권,3110965,언주역 6번,18626,5920,2892061,2867515,오피스/직장형
20253,A,골목상권,3110964,싸리고개근린공원,11763,8067,1950253,1930423,오피스/직장형
20253,A,골목상권,3110963,역삼월드메르디앙아파트,25481,8879,2915967,2881607,오피스/직장형
20253,A,골목상권,3110962,도산공원북측,13334,1438,1549572,1534800,오피스/직장형
20253,A,골목상권,3110961,언주역 3번,20081,7030,4793048,4765937,오피스/직장형
20253,A,골목상권,3110960,은광여고,22463,5558,1786850,1758829,오피스/직장형
