,CATEGORY,NO,AREA_CD,AREA_NM,ENG_NM
94,공원,95,POI103,양화한강공원,Yanghwa Hangang Park
95,공원,96,POI104,어린이대공원,Children's Grand Park
96,공원,97,POI105,여의도한강공원,Yeouido Hangang Park
97,공원,98,POI106,월드컵공원,World Cup Park
98,공원,99,POI107,응봉산,Eungbongsan
99,공원,100,POI108,이촌한강공원,Ichon Hangang Park
100,공원,101,POI109,잠실종합운동장,Jamsil (Seoul) Sports Complex
101,공원,102,POI110,잠실한강공원,Jamsil Hangang Park
102,공원,103,POI111,잠원한강공원,Jamwon Hangang Park
103,공원,104,POI112,청계산,Cheonggyesan
104,공원,105,POI113,청와대,Cheongwadae
105,발달상권,106,POI114,북창동 먹자골목,Bukchang-dong food alley
106,발달상권,107,POI115,남대문시장,Namdaemun Market
107,발달상권,108,POI116,익선동,Ikseon-dong
108,인구밀집지역,109,POI117,신정네거리역,Shinjeongnegeori Station
109,인구밀집지역,110,POI118,잠실새내역,Jamsil Saenae Station
110,인구밀집지역,111,POI119,잠실역,Jamsil Station
111,발달상권,112,POI120,잠실롯데타워 일대,Jamsil Lotte Tower area
112,발달상권,113,POI121,송리단길·호수단길,Songridan-gil·Hosudan-gil
113,발달상권,114,POI122,신촌 스타광장,Shinchon Star Plaza
114,공원,115,POI123,보라매공원,Boramae Park
115,공원,116,POI124,서대문독립공원,Seodaemun Independence Park
116,공원,117,POI125,안양천,Anyangcheon River
117,공원,118,POI126,여의서로,Yeouiseoro
118,공원,119,POI127,올림픽공원,Olympic Park
119,공원,120,POI128,홍제폭포,Hongje Waterfall
