기준연월,자치구,숙박방문자수,평균 숙박일수,평균체류시간(분),전국 평균체류시간(분)
202504,성동구,5713889.0,2.83,564.0,856.0
202505,성동구,6466540.0,3.06,874.0,1178.0
202506,성동구,6069877.0,2.92,654.0,908.0
202507,성동구,6042778.0,2.95,715.0,1050.0
202508,성동구,5925815.0,2.91,727.0,986.0
202509,성동구,6654997.0,2.98,729.0,1038.0
202510,성동구,6170192.0,2.94,726.0,1000.0
202511,성동구,6643276.0,2.89,600.0,874.0
202512,성동구,6432478.0,2.87,648.0,980.0
202501,성북구,3397173.0,3.0,1246.0,1070.0
202502,성북구,3371742.0,3.17,1241.0,1014.0
202503,성북구,4849837.0,3.33,1799.0,1280.0
202504,성북구,3806595.0,3.02,981.0,856.0
202505,성북구,4422466.0,3.19,1421.0,1178.0
202506,성북구,4105895.0,3.08,1076.0,908.0
202507,성북구,4373652.0,3.15,1209.0,1050.0
202508,성북구,4262167.0,3.05,1118.0,986.0
202509,성북구,5229821.0,3.18,1201.0,1038.0
202510,성북구,4701438.0,3.12,1134.0,1000.0
202511,성북구,4861719.0,3.07,897.0,874.0
202512,성북구,4547993.0,3.07,1078.0,980.0
202501,송파구,8843996.0,2.88,876.0,1070.0
202502,송파구,8882894.0,2.93,838.0,1014.0
202503,송파구,10326330.0,2.93,914.0,1280.0
202504,송파구,10279931.0,2.84,667.0,856.0
202505,송파구,11090054.0,3.04,999.0,1178.0
202506,송파구,10168264.0,2.94,801.0,908.0
202507,송파구,10673495.0,2.97,867.0,1050.0
202508,송파구,10429245.0,2.89,824.0,986.0
202509,송파구,10290543.0,2.93,787.0,1038.0
202510,송파구,10261323.0,2.9,798.0,1000.0
202511,송파구,10907035.0,2.86,729.0,874.0
202512,송파구,11256247.0,2.82,751.0,980.0
202501,양천구,2788645.0,3.03,1218.0,1070.0
202502,양천구,2652277.0,3.17,1134.0,1014.0
202503,양천구,3261030.0,3.15,1259.0,1280.0
202504,양천구,2846103.0,3.03,953.0,856.0
202505,양천구,3315645.0,3.32,1567.0,1178.0
202506,양천구,3103577.0,3.14,1091.0,908.0
202507,양천구,3225790.0,3.18,1160.0,1050.0
202508,양천구,3160538.0,3.12,1095.0,986.0
202509,양천구,3185969.0,3.12,989.0,1038.0
202510,양천구,3197432.0,3.09,1149.0,1000.0
202511,양천구,3238685.0,3.13,994.0,874.0
202512,양천구,3094940.0,3.08,1123.0,980.0
202501,영등포구,8005561.0,2.79,699.0,1070.0
202502,영등포구,8262051.0,2.83,650.0,1014.0
202503,영등포구,9496180.0,2.86,719.0,1280.0
202504,영등포구,9253630.0,2.77,537.0,856.0
202505,영등포구,9943674.0,2.93,798.0,1178.0
202506,영등포구,9349901.0,2.82,612.0,908.0
202507,영등포구,9947127.0,2.9,720.0,1050.0
202508,영등포구,9423864.0,2.78,636.0,986.0
202509,영등포구,9881110.0,2.81,621.0,1038.0
202510,영등포구,9418831.0,2.83,679.0,1000.0
202511,영등포구,10007558.0,2.79,592.0,874.0
202512,영등포구,9860580.0,2.74,618.0,980.0
202501,용산구,8179998.0,2.56,419.0,1070.0
202502,용산구,8045213.0,2.63,390.0,1014.0
202503,용산구,9501357.0,2.7,465.0,1280.0
202504,용산구,8532733.0,2.6,324.0,856.0
202505,용산구,10082287.0,2.76,500.0,1178.0
202506,용산구,9526816.0,2.61,366.0,908.0
202507,용산구,9632935.0,2.65,413.0,1050.0
202508,용산구,9990949.0,2.58,401.0,986.0
202509,용산구,9767376.0,2.64,399.0,1038.0
202510,용산구,9767599.0,2.59,377.0,1000.0
202511,용산구,10156219.0,2.6,358.0,874.0
202512,용산구,10031113.0,2.54,377.0,980.0
202501,은평구,2593431.0,2.99,1493.0,1070.0
202502,은평구,2342380.0,3.12,1439.0,1014.0
202503,은평구,2857949.0,3.1,1650.0,1280.0
202504,은평구,2465571.0,3.01,1284.0,856.0
202505,은평구,2938114.0,3.18,1806.0,1178.0
202506,은평구,2678887.0,3.06,1386.0,908.0
202507,은평구,2826880.0,3.12,1515.0,1050.0
202508,은평구,2734039.0,3.03,1399.0,986.0
202509,은평구,2636430.0,3.05,1349.0,1038.0
202510,은평구,2884551.0,3.07,1548.0,1000.0
202511,은평구,2710493.0,3.07,1320.0,874.0
202512,은평구,2693754.0,3.08,1515.0,980.0
202501,종로구,9949705.0,2.57,353.0,1070.0
202502,종로구,10170354.0,2.62,350.0,1014.0
202503,종로구,12703198.0,2.72,442.0,1280.0
202504,종로구,11541649.0,2.55,280.0,856.0
202505,종로구,12984045.0,2.64,343.0,1178.0
202506,종로구,12044653.0,2.6,299.0,908.0
202507,종로구,11437132.0,2.62,350.0,1050.0
202508,종로구,11245728.0,2.6,349.0,986.0
202509,종로구,12675322.0,2.71,383.0,1038.0
202510,종로구,12370646.0,2.6,296.0,1000.0
202511,종로구,13150574.0,2.6,295.0,874.0
202512,종로구,12813773.0,2.55,309.0,980.0
202501,중구,10507210.0,2.57,271.0,1070.0
202502,중구,10862640.0,2.69,295.0,1014.0
202503,중구,12478970.0,2.67,302.0,1280.0
202504,중구,11852885.0,2.61,224.0,856.0
202505,중구,12708092.0,2.67,284.0,1178.0
202506,중구,12134138.0,2.61,241.0,908.0
202507,중구,12310922.0,2.66,289.0,1050.0
202508,중구,11964552.0,2.59,249.0,986.0
202509,중구,12843984.0,2.77,286.0,1038.0
202510,중구,12540367.0,2.66,232.0,1000.0
202511,중구,13701821.0,2.64,222.0,874.0
202512,중구,13685142.0,2.56,228.0,980.0
202501,중랑구,2573109.0,2.92,1236.0,1070.0
202502,중랑구,2343052.0,3.07,1197.0,1014.0
202503,중랑구,2883841.0,3.05,1339.0,1280.0
202504,중랑구,2575966.0,3.03,1128.0,856.0
202505,중랑구,3202050.0,3.16,1509.0,1178.0
202506,중랑구,2727128.0,3.02,1130.0,908.0
202507,중랑구,2764286.0,3.08,1309.0,1050.0
202508,중랑구,2738682.0,2.99,1200.0,986.0
202509,중랑구,2729945.0,3.01,1141.0,1038.0
202510,중랑구,2857786.0,2.96,1235.0,1000.0
202511,중랑구,2747877.0,3.0,1116.0,874.0
202512,중랑구,2773462.0,2.99,1266.0,980.0
