,순번,사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
2789,73956,202505,9호선2~3단계,봉은사,5,1,1819,2619,5418,30172,9373,46681,10557,119569,10095,95034,11854,58624,19823,48751,27829,45049,34098,48399,42620,39470,52790,34519,73283,32418,96999,30062,112188,28295,56852,17910,41117,10683,35363,8607,24179,6129,6203,3858,986,820,0,0,0,0,0,0,20250603
2790,73957,202505,9호선2~3단계,종합운동장,5,0,1564,197,4154,2151,10064,6347,13344,11697,9134,9909,6713,6280,6896,6507,8328,8092,8473,8284,7617,8276,8541,9409,10566,11381,13221,15046,13241,18519,9105,12033,10702,7756,9789,7350,7876,6516,4399,3535,745,1052,0,14,0,0,0,0,20250603
2791,73958,202505,9호선2~3단계,삼전,31,0,5099,667,8671,3148,23370,6077,36416,18437,24572,10029,14796,7097,12208,7392,12328,8470,12511,9641,10977,10263,10873,11555,12012,14837,14851,18694,18018,29042,8726,23368,7375,14784,6147,14913,5121,12022,1929,8352,360,2437,0,521,0,0,0,0,20250603
2792,73959,202505,9호선2~3단계,석촌고분,3,0,3537,581,7870,2593,19505,5746,32431,15483,21280,10622,12481,6689,11094,7175,11705,8824,11114,8841,10177,9257,10124,10648,11437,12659,12602,17328,15712,26732,8237,20389,6337,13866,5652,12597,4421,12128,1495,6813,284,2464,0,3,0,0,0,0,20250603
2793,73960,202505,9호선2~3단계,석촌,17,0,3648,514,9864,3540,24864,5916,35614,13251,24321,12299,15796,10317,14423,11140,15401,12862,16347,13545,15027,13490,15610,15027,17381,16505,18423,23433,19451,33095,12442,25872,11483,17291,11929,14821,9795,15204,4471,7810,667,2221,0,3,0,0,0,0,20250603
2794,73961,202505,9호선2~3단계,송파나루,0,0,2132,289,4825,1737,13882,5121,21194,13445,14317,9160,8339,6747,7284,8404,8587,10387,9257,9405,8902,9230,9180,9862,9644,11848,11780,17412,14485,24349,8790,18487,8045,10537,8337,8066,6613,7604,2623,4218,467,1431,0,0,0,0,0,0,20250603
2795,73962,202505,9호선2~3단계,한성백제,6,0,1319,356,3856,1079,8231,2537,11899,8592,7124,5723,5085,3952,5242,3922,5425,3889,5527,4656,5354,4269,5734,4628,6105,5342,7032,6618,8917,9330,4193,7685,3459,4409,3179,4626,2351,3605,864,2775,196,768,0,0,0,0,0,0,20250603
2796,73963,202505,9호선2~3단계,올림픽공원(한국체대),0,0,2250,635,8185,3988,17306,6856,20244,19116,13969,15256,11465,17299,12228,20481,13782,20953,14308,28871,13526,28239,15519,32354,18684,34421,19311,33502,19465,30990,18865,20172,28208,12215,45101,12305,35357,10783,9835,6811,325,1993,0,30,0,0,0,0,20250603
2797,73964,202505,9호선2~3단계,둔촌오륜,0,0,2360,285,8275,1863,21394,3850,20833,4437,11723,2493,8212,2599,6670,3300,6544,4008,5966,4562,5216,5164,6196,6877,7849,8016,6164,11643,4661,18509,2835,14719,2070,10159,1858,8316,1400,9604,606,4353,129,1707,1,156,0,0,0,0,20250603
2798,73965,202505,9호선2~3단계,중앙보훈병원,21,0,5169,554,23246,6231,49486,13052,52045,22773,32701,14811,22700,14931,21139,10615,19578,13316,15861,14972,18400,14633,20139,14544,20064,15979,21870,25033,16477,40232,7949,30696,5939,19666,5071,17310,3430,19207,1158,8128,196,2683,1,226,0,1,0,0,20250603
