,ROUTE_ID,노선명,순번,NODE_ID,ARS_ID,정류소명,X좌표,Y좌표
11237,114900001,양천01,17,114000052,15154,이대목동병원.목동6단지앞,126.884428,37.536847
11238,100100285,5633,17,213000296,38202,창의경영고,126.881087007,37.4363480704
11239,100100607,9711,17,113000075,14166,상암초등학교,126.893423,37.576392
11240,100100459,440,17,122000696,23393,강남한양수자인아파트,127.11335,37.478158
11241,102900003,용산01,17,102900084,3578,제일기획,126.998418,37.53495
11242,122000004,N6701,17,101000028,2123,숭례문.서울역4번출구,126.9736279452,37.5580006528
11243,116000002,6615,17,116000640,17804,별장쉐르빌앞,126.832939,37.487055
11244,115900007,강서07,17,115900282,16617,마곡나루역5번출구,126.827481,37.565315
11245,107000002,343,17,123000298,24389,가락시장.헬리오시티,127.1062542896,37.4951999021
11246,100100027,148,17,105000555,6776,경동시장사거리,127.038109149,37.5772293536
11247,100100265,5531,17,225000126,40064,산본1동,126.9423359068,37.3737996761
11248,116900006,구로07,17,116000296,17365,푸른수목원후문.저수지앞,126.8224245449,37.4842895838
11249,117900002,금천04,17,117900016,18808,금천구종합청사.금천구청역,126.895347,37.456079
11250,100900005,종로08,17,100900191,1794,종로5가역.광장시장,127.000038992,37.5707724724
11251,100100418,6011,17,112000013,13013,연세대앞,126.9354996016,37.5601569117
11252,100100420,6013,17,122000711,23984,동호대교(가상),127.0241641902,37.5311526541
11253,100100416,6005,17,112000005,13005,모래내시장.가좌역,126.9150627853,37.5690774104
11254,100100228,3416,17,123000270,24361,가락2동주민센터,127.1268492824,37.4988632917
11255,100100305,6628,17,114000162,15265,목동7단지,126.867124,37.525588
11256,100900008,종로02,17,100000104,1200,안국역6번출구.인사동문화의거리,126.9841344381,37.575798979
11257,117900004,금천06,17,117900071,18564,길상마트,126.8938893297,37.4720209133
11258,100100022,143,17,100000391,1016,종로3가.탑골공원,126.9899877751,37.5703605443
11259,100100177,1218,17,108000066,9154,북부수도사업소,127.0361604414,37.6342350364
11260,100100373,6101,17,129000033,35682,일산IC(가상),126.8044052283,37.6311602236
11261,116000005,8561,17,118000069,19154,샛강역4번출구.여의도자이,126.926742,37.518679
11262,119900001,동작20,17,119900262,20812,신남성초교입구,126.9645031705,37.4879028591
11263,100100263,5528,17,117000111,18197,모두의학교.금천문화예술정보학교,126.9055934267,37.4799497631
11264,108900014,서대문15,17,112900251,13968,두란노어린이집,126.9204911769,37.5818014448
11265,116900009,구로05,17,116900158,17912,공구상가,126.860118,37.498624
11266,107900012,성북06,17,107000032,8122,정릉길음시장.길음뉴타운9단지,127.019578,37.602522
11267,103900010,성동13,17,103900259,4860,이마트.서울숲힐스테이트아파트,127.05257,37.540528
11268,116900011,구로04,17,116900027,17580,현대IPARK정문,126.8609086066,37.4910441607
11269,116900012,구로06,17,116900207,17711,한일한의원,126.8644523136,37.5019399059
11270,115000006,6019,17,118000529,19963,공군호텔,126.92412815,37.5100455483
11271,100100291,6511,17,116000018,17104,서울미래초등학교,126.889449,37.505305
11272,116900017,영등포09,17,118900196,19561,선의원,126.90925,37.512505
11273,100100246,4432,17,121000218,22294,매헌시민의숲,127.038353,37.473135
11274,117900005,금천08,17,117900052,18598,시흥모터스,126.889442,37.470577
11275,109900004,도봉05,17,109000118,10203,쌍문동우이빌라,127.01802,37.657407
11276,100900004,종로07,17,100000130,1226,혜화동로터리,127.000687,37.58558
11277,112000001,8777,17,113000488,14140,난지천공원다목적구장,126.883275,37.573856
11278,112900004,서대문03,17,112900188,13821,연대앞.세브란스병원,126.935592,37.560294
11279,100100565,750B,17,112000399,13039,경찰청.동북아역사재단,126.9692243077,37.5624764161
11280,100100419,6012,17,113000408,14828,상암월드컵파크5단지,126.886475,37.580846
11281,100100017,120,17,108000189,9277,롯데백화점미아점,127.0307561737,37.614709413
11282,107900018,성북10,17,108000339,9739,미아사거리역2번출구,127.030438,37.613023
11283,100100259,5523,17,120000021,21120,KT관악지점,126.9484610699,37.4814828857
11284,115900003,강서02,17,115900073,16859,화곡초교,126.8467695833,37.5434282911
11285,100100139,1124,17,108000173,9261,미아사거리역,127.0305298034,37.6105034099
11286,100100522,2016,17,104000169,5262,동곡삼거리,127.077955,37.563673
11287,100100409,421,17,102000191,3285,한남역.용산노인종합복지관,127.006795706,37.5312239311
11288,100100508,6300,17,122000294,23401,수서역.현대벤쳐빌,127.1021201028,37.4876807848
11289,100100159,1144,17,110000171,11271,상계주공10단지상가,127.057598,37.661425
11290,100100221,3315,17,123000685,24304,성내천공원,127.147632,37.50072
11291,107900004,성북12,17,107000530,8606,석관고,127.067226,37.610065
11292,100100387,8774,17,111000257,12347,역촌동주민센터,126.914828,37.605725
11293,124900001,강동05,17,124000500,25615,샘터배드민턴장,127.157098,37.56229
11294,123900002,송파02,17,122000754,23547,수서역.로즈데일빌딩,127.102806,37.487511
11295,100100391,9404,17,121001337,22039,안골마을.서울언남초등학교,127.063306,37.45575
11296,117900010,금천11,17,117900091,18540,박미마을,126.9031686259,37.440931611
11297,100100267,5535,17,117000111,18197,모두의학교.금천문화예술정보학교,126.9055934267,37.4799497631
11298,114900006,영등포12,17,118000079,19164,필립메디컬센터,126.8952459024,37.5206987975
11299,100100400,9707,17,219000370,36686,마두역(중),126.7774872562,37.6523303313
11300,103900001,성동09,17,103900266,4878,옥정초등학교,127.015419565,37.5408892401
11301,100100283,5627,17,213000136,38196,서면초.안서중.창의경영고,126.8798616383,37.4371359453
11302,100100038,201,17,221000072,39046,검배사거리,127.1498656476,37.5945766559
11303,111000017,N72,17,113000423,14013,서교동,126.9195815796,37.5536367406
11304,108900010,도봉02,17,108000117,9205,대한병원,127.0231692841,37.6367337539
11305,100100313,6638,17,213000034,38011,광명초등학교,126.8554838003,37.4814079292
11306,100100298,6616,17,213000034,38011,광명초등학교,126.8554838003,37.4814079292
11307,100100312,6637,17,116000117,17207,대원주유소,126.8565297879,37.4869343975
11308,100100157,1142,17,109000060,10145,창동농협물류센터,127.051022,37.65383
11309,100100202,2227,17,106000093,7187,삼룡사입구,127.1001745527,37.5976831695
11310,100100098,651,17,115000058,16154,강서면허시험장.메이필드호텔,126.820227,37.547798
11311,100100015,110B국민대,17,100000038,1133,세검정초등학교,126.9612198463,37.6025022799
11312,104000012,0411,17,102000088,3182,용산꿈나무종합타운.보건분소,126.964648,37.538295
11313,100100012,107,17,207000106,61086,송산주공4단지,127.0903594594,37.7330415068
11314,104000009,111,17,207000310,61176,송산1동주민센터,127.0878258938,37.7312246421
11315,100100055,340,17,124000047,25147,암사3동주민센터(강동롯데캐슬퍼스트),127.139195,37.554877
11316,100100134,1114,17,107000026,8116,봉국사,127.007657,37.606138
11317,104000011,N31,17,124000057,25157,천호동공원,127.1259116562,37.5459692284
