,노드링크 유형,노드 WKT,노드 ID,노드 유형 코드,링크 WKT,링크 ID,링크 유형 코드,시작노드 ID,종료노드 ID,링크 길이,시군구코드,시군구명,읍면동코드,읍면동명,지하철역코드,지하철역명,리프트,엘리베이터
2760,NODE,POINT(126.91884771706118 37.636438672353805),213544,0.0,,0,,,,,1138000000,은평구,1138011400,진관동,254,구파발,0,0
2761,LINK,,0,,"LINESTRING(126.90231487031684 37.57741803156539,126.9024536903182 37.577407906863066)",102450,1000.0,99421.0,212951.0,12.314,1138000000,은평구,1138011000,증산동,136,디지털미디어시티,0,0
2762,NODE,POINT(126.91923497661536 37.6362151016631),213291,1.0,,0,,,,,1138000000,은평구,1138011400,진관동,254,구파발,0,0
2763,NODE,POINT(126.93296148008154 37.61845276897667),62130,1.0,,0,,,,,1138000000,은평구,1138010300,불광동,262,독바위,0,1
2764,NODE,POINT(126.90207262108751 37.57808970624443),212431,1.0,,0,,,,,1138000000,은평구,1138011000,증산동,136,디지털미디어시티,0,0
2765,NODE,POINT(126.93612308551579 37.600608824801775),214022,0.0,,0,,,,,1138000000,은평구,1138010200,녹번동,256,녹번,0,0
2766,LINK,,0,,"LINESTRING(126.91899211696432 37.63702699636522,126.91881665444326 37.636998490713076)",140778,1000.0,213287.0,213284.0,15.807,1138000000,은평구,1138011400,진관동,254,구파발,0,0
2767,LINK,,0,,"LINESTRING(126.91881665444326 37.636998490713076,126.91894542660093 37.63727725249291)",94980,1000.0,213284.0,213286.0,32.961,1138000000,은평구,1138011400,진관동,254,구파발,0,0
2768,LINK,,0,,"LINESTRING(126.91884771706118 37.636438672353805,126.91905099548799 37.63644192083608,126.91923497661536 37.6362151016631)",77923,1000.0,213544.0,213291.0,47.904,1138000000,은평구,1138011400,진관동,254,구파발,0,0
2769,LINK,,0,,"LINESTRING(126.91884771706118 37.636438672353805,126.91881665444326 37.636998490713076)",42558,1000.0,213544.0,213284.0,62.195,1138000000,은평구,1138011400,진관동,254,구파발,0,0
2770,LINK,,0,,"LINESTRING(126.91831043620695 37.637273961599554,126.91881665444326 37.636998490713076)",25039,1000.0,213285.0,213284.0,54.14,1138000000,은평구,1138011400,진관동,254,구파발,0,0
2771,LINK,,0,,"LINESTRING(126.93099214131836 37.60901735737806,126.93087522373885 37.60918615908397,126.93101041260398 37.60924471183044)",247848,1000.0,127620.0,214973.0,34.982,1138000000,은평구,1138010600,대조동,255,불광,0,0
2772,NODE,POINT(126.93578883831053 37.60053336314217),214023,0.0,,0,,,,,1138000000,은평구,1138010700,응암동,256,녹번,0,0
2773,NODE,POINT(126.9358072226042 37.60116070881984),214024,0.0,,0,,,,,1138000000,은평구,1138010200,녹번동,256,녹번,0,0
2774,NODE,POINT(126.93558612876772 37.60153197104879),214025,0.0,,0,,,,,1138000000,은평구,1138010200,녹번동,256,녹번,0,0
2775,NODE,POINT(126.92043386611664 37.6197599966384),214026,0.0,,0,,,,,1138000000,은평구,1138010400,갈현동,257,연신내,0,0
2776,NODE,POINT(126.92082926174292 37.61926725488798),214027,0.0,,0,,,,,1138000000,은평구,1138010400,갈현동,257,연신내,0,0
2777,NODE,POINT(126.9233360585919 37.60564998535535),214028,0.0,,0,,,,,1138000000,은평구,1138010200,녹번동,260,역촌,0,0
2778,NODE,POINT(126.92280072831649 37.60574488567329),214029,0.0,,0,,,,,1138000000,은평구,1138010200,녹번동,260,역촌,0,0
2779,NODE,POINT(126.90029941515417 37.57792221703008),214030,1.0,,0,,,,,1138000000,은평구,1138010100,수색동,136,디지털미디어시티,0,0
2780,LINK,,0,,"LINESTRING(126.93003326157286 37.61036449137324,126.9299245389925 37.61029893640105,126.93004740336065 37.61010824700395)",248567,1000.0,214972.0,127641.0,35.828,1138000000,은평구,1138010600,대조동,255,불광,0,0
2781,LINK,,0,,"LINESTRING(126.93101041260398 37.60924471183044,126.93003326157286 37.61036449137324)",255037,1000.0,214973.0,214972.0,151.295,1138000000,은평구,1138010300,불광동,255,불광,0,0
2782,LINK,,0,,"LINESTRING(126.93003326157286 37.61036449137324,126.93018082755418 37.61043511496934,126.93031949340464 37.61028596505884)",251905,1000.0,214972.0,127621.0,35.795,1138000000,은평구,1138010300,불광동,255,불광,0,0
2783,NODE,POINT(126.91545965173789 37.59873471289387),37660,1.0,,0,,,,,1138000000,은평구,1138010900,신사동,261,응암,0,0
2784,LINK,,0,,"LINESTRING(126.92959153303963 37.61111970788008,126.9294585237334 37.611293342553324)",126328,1000.0,214982.0,107312.0,22.568,1138000000,은평구,1138010300,불광동,255,불광,0,0
2785,NODE,POINT(126.91369953087676 37.59192567576207),37656,1.0,,0,,,,,1138000000,은평구,1138010900,신사동,258,새절(신사),0,0
2786,NODE,POINT(126.9135545589808 37.59133213831695),37653,1.0,,0,,,,,1138000000,은평구,1138010900,신사동,258,새절(신사),0,0
2787,NODE,POINT(126.91382261087963 37.59129524486624),37650,1.0,,0,,,,,1138000000,은평구,1138010700,응암동,258,새절(신사),0,0
2788,NODE,POINT(126.92958881062188 37.61117376260042),213293,1.0,,0,,,,,1138000000,은평구,1138010300,불광동,255,불광,0,1
2789,NODE,POINT(126.92993678966661 37.61099054739836),213294,1.0,,0,,,,,1138000000,은평구,1138010300,불광동,255,불광,0,0
2790,LINK,,0,,"LINESTRING(126.929549945265 37.61094679315942,126.92972981418143 37.611019215672464)",141506,1000.0,213295.0,214981.0,17.8,1138000000,은평구,1138010300,불광동,255,불광,0,0
2791,NODE,POINT(126.929549945265 37.61094679315942),213295,0.0,,0,,,,,1138000000,은평구,1138010300,불광동,255,불광,0,0
2792,NODE,POINT(126.92986292429882 37.61058013494784),213296,0.0,,0,,,,,1138000000,은평구,1138010300,불광동,255,불광,0,0
2793,LINK,,0,,"LINESTRING(126.92986292429882 37.61058013494784,126.93003326157286 37.61036449137324)",175766,1000.0,213296.0,214972.0,28.267,1138000000,은평구,1138010300,불광동,255,불광,0,0
2794,NODE,POINT(126.9229386384317 37.60572906757352),213297,1.0,,0,,,,,1138000000,은평구,1138010200,녹번동,260,역촌,0,0
2795,NODE,POINT(126.923048451063 37.60588462747197),213298,1.0,,0,,,,,1138000000,은평구,1138010200,녹번동,260,역촌,0,1
2796,NODE,POINT(126.92289558356993 37.606338420554295),213299,0.0,,0,,,,,1138000000,은평구,1138010200,녹번동,260,역촌,0,0
2797,NODE,POINT(126.93538909103631 37.60111060704459),213300,1.0,,0,,,,,1138000000,은평구,1138010200,녹번동,256,녹번,0,0
2798,LINK,,0,,"LINESTRING(126.9024536903182 37.577407906863066,126.9024010825811 37.5773468201649)",171412,1000.0,212951.0,212121.0,8.22,1138000000,은평구,1138011000,증산동,136,디지털미디어시티,0,0
2799,NODE,POINT(126.9292686301676 37.61067793449513),127624,1.0,,0,,,,,1138000000,은평구,1138010600,대조동,255,불광,0,0
2800,NODE,POINT(126.92904048064521 37.61084310051105),127623,1.0,,0,,,,,1138000000,은평구,1138010600,대조동,255,불광,0,0
2801,NODE,POINT(126.91731721592984 37.61084585858109),127648,1.0,,0,,,,,1138000000,은평구,1138010800,역촌동,264,구산,0,0
2802,NODE,POINT(126.92067202866937 37.619288422640466),211549,1.0,,0,,,,,1138000000,은평구,1138010400,갈현동,257,연신내,0,0
2803,NODE,POINT(126.93031949340464 37.61028596505884),127621,1.0,,0,,,,,1138000000,은평구,1138010300,불광동,255,불광,0,0
2804,NODE,POINT(126.93099214131836 37.60901735737806),127620,1.0,,0,,,,,1138000000,은평구,1138010600,대조동,255,불광,0,0
2805,NODE,POINT(126.92263294696465 37.606829436864885),110970,1.0,,0,,,,,1138000000,은평구,1138010600,대조동,260,역촌,0,0
2806,NODE,POINT(126.90962915350853 37.58403738391415),127614,1.0,,0,,,,,1138000000,은평구,1138011000,증산동,263,증산(명지대앞),0,0
2807,NODE,POINT(126.923180756684 37.6064859126135),111002,1.0,,0,,,,,1138000000,은평구,1138010200,녹번동,260,역촌,0,0
2808,LINK,,0,,"LINESTRING(126.9024536903182 37.577407906863066,126.90260062851104 37.5772769147982,126.90264549826205 37.57732224552818,126.90216544422665 37.5779440412611)",102617,1000.0,212951.0,212947.0,106.894,1138000000,은평구,1138011000,증산동,136,디지털미디어시티,0,0
2809,NODE,POINT(126.91709695718436 37.611375880031424),213253,0.0,,0,,,,,1138000000,은평구,1138010400,갈현동,264,구산,0,0
2810,NODE,POINT(126.90983903305914 37.5839100492272),127612,1.0,,0,,,,,1138000000,은평구,1138011000,증산동,263,증산(명지대앞),0,0
2811,LINK,,0,,"LINESTRING(126.93101041260398 37.60924471183044,126.93113089487552 37.60931027267687,126.93127172453387 37.609185001739604)",201122,1000.0,214973.0,159373.0,31.542,1138000000,은평구,1138010300,불광동,255,불광,0,0
2812,NODE,POINT(126.91706864190141 37.611632093566115),213254,1.0,,0,,,,,1138000000,은평구,1138010400,갈현동,264,구산,0,1
2813,NODE,POINT(126.93567783042319 37.60158642002017),213301,1.0,,0,,,,,1138000000,은평구,1138010200,녹번동,256,녹번,0,0
2814,NODE,POINT(126.93584224201496 37.60123831742696),213302,1.0,,0,,,,,1138000000,은평구,1138010200,녹번동,256,녹번,0,1
2815,LINK,,0,,"LINESTRING(126.90216544422665 37.5779440412611,126.9020649838773 37.57803454538398,126.90207262108751 37.57808970624443)",157412,1000.0,212947.0,212431.0,19.563,1138000000,은평구,1138011000,증산동,136,디지털미디어시티,0,0
2816,NODE,POINT(126.91714225094869 37.611622865130144),213255,0.0,,0,,,,,1138000000,은평구,1138010400,갈현동,264,구산,0,0
2817,NODE,POINT(126.92102826773572 37.618659391947844),213256,1.0,,0,,,,,1138000000,은평구,1138010600,대조동,257,연신내,0,0
2818,NODE,POINT(126.93568861541915 37.60060061273248),213304,1.0,,0,,,,,1138000000,은평구,1138010700,응암동,256,녹번,0,1
2819,NODE,POINT(126.92106278002848 37.618670857583815),213257,1.0,,0,,,,,1138000000,은평구,1138010600,대조동,257,연신내,0,0
2820,NODE,POINT(126.92132143903669 37.61893200967506),213258,0.0,,0,,,,,1138000000,은평구,1138010300,불광동,257,연신내,0,0
2821,NODE,POINT(126.91396758483404 37.59188878198839),75604,1.0,,0,,,,,1138000000,은평구,1138010900,신사동,258,새절(신사),0,0
2822,LINK,,0,,"LINESTRING(126.9358072226042 37.60116070881984,126.93584224201496 37.60123831742696)",252404,1011.0,214024.0,213302.0,9.152,1138000000,은평구,1138010200,녹번동,256,녹번,0,0
2823,LINK,,0,,"LINESTRING(126.93588942958914 37.60070796648676,126.93614216233416 37.600806339359124,126.9362060863985 37.60070689991479)",254749,1000.0,214990.0,213303.0,37.242,1138000000,은평구,1138010200,녹번동,256,녹번,0,0
2824,LINK,,0,,"LINESTRING(126.93558612876772 37.60153197104879,126.9358072226042 37.60116070881984)",237670,1011.0,214025.0,214024.0,45.597,1138000000,은평구,1138010200,녹번동,256,녹번,0,0
2825,LINK,,0,,"LINESTRING(126.93612308551579 37.600608824801775,126.93643729641083 37.60004708053009)",204519,1011.0,214022.0,214436.0,68.243,1138000000,은평구,1138010200,녹번동,256,녹번,0,0
2826,LINK,,0,,"LINESTRING(126.93574837086473 37.600651755002424,126.93568861541915 37.60060061273248)",214490,1000.0,214991.0,213304.0,7.75,1138000000,은평구,1138010700,응암동,256,녹번,0,0
2827,LINK,,0,,"LINESTRING(126.93554790446751 37.6013065513944,126.93588942958914 37.60070796648676)",201104,1000.0,214987.0,214990.0,72.961,1138000000,은평구,1138010200,녹번동,256,녹번,0,0
