기준년월,자치구,현지인방문자수,외지인방문자수,외국인방문자수
202507,도봉구,4593264.0,2903688.0,23036.0
202507,동대문구,5852494.0,4845900.0,132181.0
202507,동작구,5642508.0,5443578.0,101920.0
202507,마포구,8056654.0,10558488.0,977658.0
202507,서대문구,5152654.0,7752322.0,330359.0
202507,서초구,11417294.0,16840390.0,408712.0
202507,성동구,5652003.0,6505558.0,379930.0
202507,성북구,8207444.0,4958037.0,103868.0
202507,송파구,14050827.0,11655973.0,319880.0
202507,양천구,5592402.0,3599295.0,59011.0
202507,영등포구,9250318.0,10666072.0,395042.0
202507,용산구,5138906.0,10113338.0,784590.0
202507,은평구,5660680.0,3286654.0,64805.0
202507,종로구,5006841.0,11929855.0,989534.0
202507,중구,4751786.0,12740410.0,2095709.0
202507,중랑구,5944022.0,3159870.0,38607.0
202508,강남구,16835528.0,19150646.0,703159.0
202508,강동구,8992676.0,4880376.0,57636.0
202508,강북구,4424032.0,2976312.0,31158.0
202508,강서구,9070218.0,8143398.0,354534.0
202508,관악구,7547750.0,5744767.0,82744.0
202508,광진구,6633781.0,6259309.0,133477.0
202508,구로구,6175432.0,5904720.0,127794.0
202508,금천구,2822911.0,2414850.0,66349.0
202508,노원구,9396922.0,5130293.0,34478.0
202508,도봉구,4412751.0,2875285.0,19800.0
202508,동대문구,5660564.0,4811744.0,126599.0
202508,동작구,5392646.0,5377194.0,91522.0
202508,마포구,7786457.0,10496920.0,837571.0
202508,서대문구,4908278.0,7408740.0,275548.0
202508,서초구,10874192.0,16034826.0,338737.0
202508,성동구,5426267.0,6415762.0,332147.0
202508,성북구,8070356.0,4829688.0,95210.0
202508,송파구,13758462.0,11398247.0,276072.0
202508,양천구,5554140.0,3522295.0,46294.0
202508,영등포구,8733246.0,10090647.0,338036.0
202508,용산구,4941884.0,10508547.0,692218.0
202508,은평구,5521352.0,3172918.0,55464.0
202508,종로구,4696324.0,11764988.0,867417.0
202508,중구,4350605.0,12362896.0,1797096.0
202508,중랑구,5649872.0,3119994.0,35657.0
202509,강남구,17935172.0,19706326.0,756719.0
202509,강동구,9046758.0,4733928.0,48171.0
202509,강북구,4473070.0,2892460.0,35340.0
202509,강서구,9338444.0,8134318.0,366673.0
202509,관악구,7650570.0,5949744.0,91562.0
202509,광진구,6733664.0,6786230.0,154502.0
202509,구로구,6314840.0,5905634.0,105305.0
202509,금천구,2874956.0,2533265.0,57345.0
202509,노원구,9385803.0,5467542.0,34769.0
202509,도봉구,4389847.0,2975116.0,18367.0
202509,동대문구,5889289.0,5424209.0,154558.0
202509,동작구,5545550.0,6414345.0,99721.0
202509,마포구,8124466.0,10992054.0,823448.0
202509,서대문구,5121718.0,8376704.0,309008.0
202509,서초구,11555026.0,16697454.0,358063.0
202509,성동구,5700821.0,7151382.0,366719.0
202509,성북구,8319132.0,5845200.0,125665.0
202509,송파구,14023611.0,11173922.0,223160.0
202509,양천구,5576218.0,3509674.0,41164.0
202509,영등포구,9275826.0,10514861.0,341738.0
202509,용산구,5151836.0,10208618.0,731857.0
202509,은평구,5602628.0,3040870.0,59704.0
202509,종로구,5100998.0,13168418.0,932915.0
202509,중구,5010586.0,13255487.0,1794032.0
202509,중랑구,5739209.0,3088092.0,33679.0
202510,강남구,16391728.0,17875764.0,878884.0
202510,강동구,8863166.0,4917703.0,64512.0
202510,강북구,4467421.0,3225702.0,44939.0
202510,강서구,9017008.0,8305367.0,434378.0
202510,관악구,7342626.0,5645840.0,102483.0
202510,광진구,6574680.0,6484534.0,168736.0
202510,구로구,6029695.0,5757584.0,125475.0
202510,금천구,2840649.0,2648107.0,66242.0
202510,노원구,9308884.0,5443014.0,44385.0
202510,도봉구,4370874.0,3085008.0,23074.0
202510,동대문구,5725318.0,5080204.0,175044.0
202510,동작구,5552603.0,6077718.0,114231.0
202510,마포구,7747922.0,10678738.0,940843.0
202510,서대문구,4927422.0,7344334.0,340194.0
202510,서초구,10709370.0,15582298.0,418892.0
202510,성동구,5356295.0,6709258.0,428926.0
202510,성북구,8165094.0,5488472.0,135251.0
202510,송파구,13574620.0,11264603.0,297768.0
202510,양천구,5527074.0,3625629.0,51846.0
202510,영등포구,8595752.0,10156790.0,378030.0
202510,용산구,4920139.0,10275024.0,845081.0
202510,은평구,5588720.0,3476596.0,74688.0
202510,종로구,4618638.0,12867438.0,1130447.0
202510,중구,4273126.0,12949212.0,2128554.0
202510,중랑구,5704370.0,3342826.0,38703.0
202511,강남구,17535060.0,20540975.0,853710.0
202511,강동구,9062235.0,4874972.0,48139.0
202511,강북구,4360293.0,2944350.0,38256.0
202511,강서구,9304099.0,8557878.0,430484.0
202511,관악구,7750015.0,5936686.0,86781.0
202511,광진구,6787151.0,6618122.0,152328.0
202511,구로구,6213784.0,6042057.0,118021.0
202511,금천구,2969526.0,2671291.0,57017.0
202511,노원구,9425566.0,5348934.0,37606.0
202511,도봉구,4450425.0,2912760.0,18822.0
202511,동대문구,5791306.0,5165472.0,151170.0
202511,동작구,5821480.0,6265942.0,100992.0
202511,마포구,7986454.0,11026484.0,911741.0
202511,서대문구,5309994.0,8027688.0,326099.0
202511,서초구,11537600.0,17400890.0,379251.0
202511,성동구,5569865.0,7095686.0,442259.0
202511,성북구,8161528.0,5417430.0,112944.0
202511,송파구,13922503.0,11812538.0,237550.0
202511,양천구,5586528.0,3568310.0,43336.0
202511,영등포구,9037102.0,10634869.0,355257.0
202511,용산구,5160596.0,10598602.0,802866.0
202511,은평구,5638913.0,3138198.0,69900.0
202511,종로구,5190104.0,13616190.0,1116463.0
202511,중구,4549254.0,14068348.0,2156614.0
202511,중랑구,5635234.0,3124205.0,30913.0
202512,강남구,17061338.0,20704806.0,815148.0
202512,강동구,9156721.0,4941538.0,46757.0
202512,강북구,4395814.0,2963712.0,32170.0
202512,강서구,9352368.0,8630332.0,359736.0
202512,관악구,7695846.0,5887970.0,76442.0
202512,광진구,6760002.0,6450112.0,128682.0
202512,구로구,6197688.0,6094938.0,114371.0
202512,금천구,2913596.0,2574702.0,58779.0
202512,노원구,9560260.0,5213554.0,34315.0
202512,도봉구,4478509.0,2879390.0,16262.0
202512,동대문구,5815968.0,5070541.0,126066.0
