,상호명,자치구,신주소,X좌표(WGS84),Y좌표(WGS84)
152,두타몰 물품보관소,중구,"서울 중구 장충단로 275 (을지로6가, 두산타워빌딩)",127.008775114213,37.5688849422849
153,신락원,동대문구,서울 동대문구 전농로20길 2 (전농동),127.057164463607,37.5788979681127
154,아트사이드 갤러리,종로구,"서울 종로구 자하문로6길 15 (통의동, 갤러리 아트싸이드)",126.972946031397,37.5782683724918
155,마포옥,마포구,서울특별시 마포구 토정로 312 1층,126.943351207119,37.5398742377381
156,송파관광정보센터,송파구,"서울 송파구 잠실로 180 (신천동, 송파관광정보센터)",127.105138547809,37.5113239532932
157,연세대 캠퍼스,서대문구,"서울 서대문구 연세로 50 (신촌동, 연세대학교)",126.943916239886,37.5660508394158
158,이태원 관광안내소(지하),용산구,"서울 용산구 이태원로 지하 177 (이태원동, 6호선 이태원역) 이태원역사 내",126.993721655506,37.534483277545
159,박선영전통한복연구실,종로구,서울 종로구 율곡로 227 (이화동),127.004234082328,37.5761633402492
160,연희사진관,서대문구,서울 서대문구 이화여대길 16,126.946012160938,37.5575901973042
161,영학정,양천구,서울 양천구 목동동로 316-8 (영학정),126.879009593617,37.5283243936952
162,아트선재센터,종로구,"서울 종로구 율곡로3길 87 (소격동, 아트선재센타)",126.981839239613,37.5794635323506
163,삼세영,종로구,서울 종로구 평창44길 2 (평창동) 삼세영,126.978292871538,37.6136318587605
164,상신당,강남구,서울 강남구 강남대로146길 7 (논현동) 금원빌딩 505호,127.02071838876,37.5148445513632
165,예술의전당 한가람미술관,서초구,서울특별시 서초구 남부순환로 2406 (서초동),127.014215239186,37.4802401962069
166,요요 물품보관소,중구,"서울 중구 소공로 지하 102 (남대문로2가, 소공지하쇼핑센터)",126.979061355268,37.5643059017854
167,윤봉길 의사 기념관,서초구,서울 서초구 매헌로 99,127.036977084936,37.4730498033959
168,을지로3가역 물품보관소,중구,서울 중구 을지로 지하 106 (을지로3가역 2호선),126.990308356253,37.56626594615
169,전쟁기념관,용산구,"서울 용산구 이태원로 29 (용산동1가, 전쟁기념관)",126.978466063237,37.5373140468913
170,의릉,성북구,서울 성북구 화랑로32길 146-37 (의릉),127.053931211593,37.6063458637902
171,서울공예박물관 ,종로구,"서울 종로구 율곡로3길 4 (안국동, 서울공예박물관)",126.983261339115,37.576611194995
172,정독도서관,종로구,서울 종로구 북촌로5길 48 (정독도서관),126.983870059299,37.5812654545612
173,인천공항 제2여객터미널 관광정보센터 ,중구,인천광역시 중구 제2터미널대로 444 (운서동) 인천국제공항 제2여객터미널 1층 입국장,126.432102533423,37.4704259821903
174,정동1928 아트센터,중구,"서울 중구 덕수궁길 130 (정동, 구세군중앙회관) 정동1928 아트센터",126.973957385284,37.5679960866099
175,성원전주콩나물국밥,중구,서울 중구 명동10길 19-10 (명동2가),126.985978890595,37.5630261596096
176,세운청계상가,중구,"서울 중구 청계천로 160 (산림동, 세운청계상가)",126.995365114169,37.5679798569884
177,전태일기념관,종로구,"서울 종로구 청계천로 105 (관수동, 전태일기념관)",126.989300313392,37.5684664512813
178,중앙고등학교,종로구,"서울 종로구 창덕궁길 164 (계동, 중앙고등학교)",126.987472622092,37.5837882231459
179,정동제일교회,중구,서울특별시 중구 정동길 46 (정동),126.972449793841,37.5651830153812
180,일등식당,마포구,서울 마포구 방울내로 82 (망원동),126.904350324808,37.5605651073381
181,일민미술관,종로구,"서울 종로구 세종대로 152 (세종로, 일민미술관)",126.977657083792,37.5698677620456
182,정동길,중구,서울 중구 정동길 2 (충정로1가),126.969234203738,37.5680078344819
183,조계사,종로구,서울특별시 종로구 우정국로 55 (조계사),126.981881684461,37.5738931410856
184,종로3가역 물품보관소,종로구,"서울 종로구 종로 지하 129 (종로3가, 1호선 종로3가역)",126.99202930223,37.5704266025836
185,박노수미술관,종로구,"서울 종로구 옥인1길 34 (옥인동, 박노수 가옥)",126.966818545949,37.5813191962491
186,ECC(Ewha Campus Complex),서대문구,"서울 서대문구 이화여대길 52 (대현동, 이화여자대학교)",126.950288837762,37.5644645178259
187,광희문,중구,서울 중구 퇴계로 350 (신당동),127.010459267728,37.5644413634852
188,을지다방,중구,서울 중구 을지로 124-1 2층,126.99167977913,37.5661204498117
189,안녕인사동 ,종로구,서울 종로구 인사동길 49 (관훈동) 안녕인사동,126.983552182559,37.5744668688197
190,경찰박물관,종로구,서울 종로구 송월길 162,126.962196007118,37.5720572964048
191,경희대학교 자연사박물관,동대문구,서울특별시 동대문구 경희대로 26 자연사박물관,127.054890960564,37.5939491407769
192,국제갤러리,종로구,서울특별시 종로구 삼청로 54 (소격동),126.98057390782,37.5807206678387
193,잉꼬네떡볶이,중랑구,서울 중랑구 용마산로120길 43,127.103048629635,37.6016128233585
194,종묘,종로구,"서울 종로구 종로 157 (훈정동, 종묘공원)",126.994863544656,37.5731337998335
195,만해한용운 심우장,성북구,서울 성북구 성북로29길 24 (만해 한용운 심우장),126.991664715178,37.5936269817903
196,신흥상회,영등포구,서울 영등포구 도림로126길 1 (문래동3가),126.896507333338,37.5139792234346
197,박인당,종로구,"서울 종로구 종로 88 (종로2가, 경영빌딩) 302호",126.987182330255,37.5699504502726
198,삼청동 수제비,종로구,서울 종로구 삼청로 101-1 (삼청동),126.981947585254,37.5846047083553
199,종이나라박물관,중구,"서울 중구 장충단로 166 (장충동1가, 종이나라빌딩)",127.006153920631,37.5596497157976
200,진관사,은평구,서울특별시 은평구 진관길 73 (진관동),126.946513261796,37.6378568370404
201,진아춘 광화문점,종로구,"서울 종로구 새문안로 92 (신문로1가, 광화문오피시아)",126.974907969051,37.5696996246023
202,서울아트센터 도암갤러리,종로구,"서울 종로구 평창문화로 70, 서울아트센터 도암 3층",126.967906461707,37.6057079931502
203,설화철물,동작구,서울 동작구 사당로16길 7 (사당동),126.973850815896,37.4829138839281
204,창경궁,종로구,"서울 종로구 창경궁로 185 (와룡동, 창경궁)",126.993841430623,37.5776239475981
205,성신여대 복식박물관 및 자연사박물관,강북구,"서울 강북구 도봉로76가길 55 (미아동, 성신여자대학교운정그린캠퍼스) 운정그린캠퍼스 B1",127.027124202688,37.6320379987723
206,서우제과,서초구,서울 서초구 방배중앙로 50,126.991202342392,37.4842644490596
207,석굴암,종로구,서울 종로구 옥인동 산3-14,126.96053396869,37.58460805063
208,채석장 전망대,종로구,서울 종로구 낙산5길 51 (창신동),127.011596787935,37.5782558563534
209,세검정,종로구,서울특별시 종로구 세검정로 244 (세검정),126.95970458873,37.6008931085507
210,청계천박물관,성동구,"서울 성동구 청계천로 530 (마장동, 청계천박물관)",127.03504316401,37.5712661734969
211,청와대,종로구,서울 종로구 청와대로 1 (세종로),126.974936757836,37.5864756914613
212,청원산방,종로구,서울 종로구 북촌로6길 27 (계동),126.986357149175,37.5804298262002
213,을지로4가역 물품보관소,중구,서울 중구 을지로 지하 178 (을지로4가역 2호선),126.997852780281,37.5666369941572
214,서울생활사박물관,노원구,서울 노원구 동일로174길 27 (공릉동) 서울생활사박물관,127.076936195632,37.6201739154268
215,아다모스튜디오,성동구,"서울 성동구 성수일로 10 (성수동1가, 서울숲 ITCT 지식산업센터) B 104호",127.048828114958,37.541278064379
216,청진옥 ,종로구,"서울 종로구 종로3길 32 (청진동, 청진빌딩) 1층",126.979463167521,37.571729636393
217,암사동 선사주거지,강동구,서울 강동구 올림픽로 875 (서울 암사동 유적),127.130833358875,37.5598523707759
218,서울올림픽기념관,송파구,"서울 송파구 올림픽로 424 (방이동, 올림픽공원)",127.115517876627,37.5203396980951
219,어린이대공원 꿈마루,광진구,"서울 광진구 능동로 216 (능동, 어린이대공원)",127.078770241307,37.5520117940291
220,춘당지,종로구,"서울 종로구 창경궁로 185 (와룡동, 창경궁)",126.993841430623,37.5776239475981
221,성균관 명륜당,종로구,서울특별시 종로구 성균관로 25-1,126.995130662457,37.585831879528
222,신아기념관,중구,"서울 중구 정동길 33 (정동, 신아일보)",126.972170048684,37.5662500894879
223,예문사,중구,서울 중구 을지로 126-1,126.991954489492,37.5661256946289
224,춘원당 한의약박물관,종로구,서울 종로구 돈화문로9길 27 (춘원당한방박물관),126.990242136551,37.5715005448529
225,옛시장실 재현 공간,중구,"서울 중구 세종대로 110 (태평로1가, 서울특별시청) 서울도서관 3층",126.977918351844,37.566370776634
226,춘추사,서대문구,서울 서대문구 이화여대8길 10,126.946328617632,37.5586738807316
227,코끼리분식,마포구,서울 마포구 도화2길 3 (도화동),126.948796338712,37.5403361441386
228,태극당,중구,서울 중구 동호로24길 7,127.005087759017,37.5595217348788
229,용산공원 부분개방부지,용산구,"서울 용산구 서빙고로 221 (용산동6가, 미군 장교숙소5단지)",126.98918463406,37.5230097734164
230,정릉,성북구,"서울 성북구 아리랑로19길 116 (정릉동, 정릉)",127.006676901021,37.6012265878
231,보신각(상설타종행사),종로구,"서울 종로구 종로 54 (관철동, 보신각)",126.983677617361,37.5697673859634
232,북악스카이웨이 북악팔각정,종로구,서울시 종로구 북악산로 267 (평창동),126.980551282647,37.601975429062
233,서대문자연사박물관,서대문구,서울특별시 서대문구 연희로32길 51 (연희동),126.937858169171,37.5767519879565
234,서울도시건축전시관,중구,서울 중구 세종대로 119 (태평로1가),126.976702419575,37.5668837502225
235,태조대림감자국,은평구,서울 은평구 응암로 172 (응암동),126.916696422873,37.5872197565814
236,평택 고여사집 냉면,서대문구,서울 서대문구 연희로 81-9 (연희동),126.929261397915,37.5656774341986
237,피터팬1978,서대문구,서울 서대문구 증가로 10,126.931759938035,37.5693884840153
238,서울상상나라,광진구,서울 광진구 능동로 216 (서울상상나라),127.078770241307,37.5520117940291
239,옐로우 물품보관소,마포구,"서울 마포구 양화로 156 (동교동, LG팰리스빌딩)",126.923446601456,37.5561130617043
240,잠실대교,송파구,"서울 송파구 한가람로 65 (잠실동, 한강사업본부 잠실안내센터)",127.086737282438,37.5176288053129
241,흥인지문(동대문),종로구,"서울 종로구 종로 288 (종로6가, 흥인지문)",127.009703711735,37.5711672711877
242,손가네닭한마리,종로구,"서울 종로구 종로66가길 10 (숭인동, 유림빌딩)",127.021385020305,37.5736925736747
243,한강 이랜드크루즈,영등포구,"서울 영등포구 여의동로 280 이랜드크루즈 매표소, 서울 송파구 백제고분로 2 잠실 이크루즈",126.939020093353,37.5249632164977
244,손기정기념관,중구,서울 중구 손기정로 101 (손기정 체육공원),126.964815746241,37.5554795035057
245,형제대장간 ,은평구,서울 은평구 수색로 249 (수색동),126.895989653878,37.5813935447878
246,한강버스,송파구,서울 송파구 잠실동 1-2 일대 잠실 선착장,127.082821269841,37.5200459437783
247,한국금융사박물관,중구,"서울 중구 세종대로 135-5 (태평로1가, 조흥금융박물관) 3, 4층",126.976433052559,37.5685952282764
248,스페이스K 서울,강서구,"서울 강서구 마곡중앙8로 32 (마곡동, 스페이스K 서울)",126.830974669978,37.5610929270592
