,상세영업상태명,도로명전체주소,사업장명,문화체육업종명,좌표정보x(epsg5174),좌표정보y(epsg5174),지역구분명,지상층수,지하층수,객실수,주변환경명,건물용도명,시설면적,관광숙박업상세명
42,폐업,서울특별시 강남구 역삼로 160 (역삼동),보리호텔(Boree Hotel),관광숙박업,203175.34942825,443621.342018504,일반주거지역,9.0,3.0,0.0,기타,호텔,4628.45,관광호텔업
43,폐업,서울특별시 강남구 학동로 117 (논현동),호텔 포레힐,관광숙박업,202019.609786891,445542.15986245,일반주거지역,8.0,6.0,82.0,기타,숙박시설,0.0,관광호텔업
44,폐업,"서울특별시 강남구 테헤란로 611 (삼성동, 뷰티크호텔XYM)",부띠끄 호텔 엑스와이엠,관광숙박업,205613.224315917,445264.371898509,일반주거지역,6.0,1.0,0.0,기타,숙박시설,1673.6,관광호텔업
45,폐업,서울특별시 금천구 시흥대로 378 (독산동),(주)노보텔앰배서더독산,관광숙박업,190941.203218878,440593.5758415,근린상업지역,14.0,5.0,218.0,,호텔,30746.16,관광호텔업
46,폐업,"서울특별시 금천구 벚꽃로56길 190, 호텔 해담채 가산 (가산동)",호텔 해담채 가산,관광숙박업,190089.940594302,441930.422346464,일반상업지역,18.0,2.0,176.0,기타,숙박시설,6681.02,관광호텔업
47,폐업,"서울특별시 강남구 테헤란로8길 13, 6층 (역삼동)",오아시스 호스텔,관광숙박업,202738.921419902,443977.012671589,일반상업지역,7.0,1.0,0.0,기타,숙박시설,247.91,호스텔업
48,폐업,"서울특별시 강남구 봉은사로 143 (논현동, 운현오피스텔)",강남패밀리호텔,관광숙박업,202596.666692428,444917.728061158,일반상업지역,15.0,5.0,105.0,,,0.0,가족호텔업
49,폐업,"서울특별시 강남구 논현로 716, 3,4층 (논현동, 한솔빌딩)",한솔 호스텔,관광숙박업,202589.7,445979.625,일반주거지역,5.0,1.0,0.0,기타,숙박시설,290.82,호스텔업
50,폐업,서울특별시 강남구 논현로 74-1 (개포동),호텔 컬리넌 개포,관광숙박업,203992.231656458,441630.077624843,준주거지역,8.0,2.0,47.0,,호텔,1627.92,관광호텔업
51,폐업,서울특별시 강남구 강남대로112길 20 (논현동),왈츠호텔,관광숙박업,202235.26618266,444811.276333113,일반주거지역,6.0,1.0,28.0,,호텔,211.57,소형호텔업
52,폐업,서울특별시 강남구 테헤란로79길 7 (삼성동),호텔 더 디자이너스,관광숙박업,204801.754078438,445016.79397056,일반상업지역,10.0,2.0,0.0,기타,호텔,3997.73,
53,폐업,"서울특별시 구로구 새말로 20, 서울인관광호텔 (구로동)",코코모호텔,관광숙박업,189616.936088565,444424.824149503,준공업지역,8.0,1.0,47.0,기타,호텔,1604.5,관광호텔업
54,폐업,서울특별시 구로구 경인로 662 (신도림동),쉐라톤 서울 디큐브시티 호텔,관광숙박업,190107.045415333,445157.626366229,일반상업지역,42.0,8.0,269.0,,숙박시설,229988.69,관광호텔업
55,폐업,,루체르니 관광호텔,관광숙박업,,,,0.0,0.0,0.0,,,0.0,
56,폐업,서울특별시 도봉구 도봉로 511 (쌍문동),소피아관광호텔,관광숙박업,203088.529020092,460968.27605232,,4.0,2.0,51.0,,,,관광호텔업
57,폐업,"서울특별시 강서구 마곡중앙5로 22, 지하1층, 지상10층 (마곡동)",웰튼메디컬호스텔,관광숙박업,184496.437996802,451677.575370424,,12.0,5.0,0.0,,,1295.13,호스텔업
58,폐업,서울특별시 관악구 신림로64길 28 (신림동),나이스타임 관광호텔,관광숙박업,193854.011442373,442535.270597645,상업지역,9.0,2.0,60.0,유흥업소밀집지역,숙박시설,3266.84,관광호텔업
59,폐업,"서울특별시 관악구 관천로 64 (신림동, 스팅)",스팅,관광숙박업,193345.76981132,442537.259064514,준주거지역,10.0,1.0,32.0,기타,숙박시설,745.4,호스텔업
60,폐업,서울특별시 관악구 신림로65길 16-4 (신림동),스트디오93,관광숙박업,193620.500955237,442568.3947366,일반상업지역,11.0,1.0,18.0,유흥업소밀집지역,숙박시설,572.88,호스텔업
61,폐업,"서울특별시 관악구 남부순환로 1590-15, 알빈 (신림동)",알빈,관광숙박업,193541.791802821,442348.649209286,일반상업지역,11.0,1.0,36.0,유흥업소밀집지역,숙박시설,999.08,호스텔업
62,폐업,서울특별시 동대문구 장한로2길 48 (장안동),디 에블린,관광숙박업,205893.996035479,451049.960154453,일반상업지역,0.0,2.0,101.0,,,6176.72,관광호텔업
63,폐업,서울특별시 동대문구 천호대로83길 98 (장안동),BORJOMI  BOUTIQUE  SEOUL,관광숙박업,205852.292590362,451534.523558603,일반주거지역,7.0,2.0,36.0,,숙박시설,1912.64,관광호텔업
64,폐업,서울특별시 동대문구 왕산로 192-2 (전농동),K City Hotel,관광숙박업,203871.556031453,453032.727623015,일반상업지역,7.0,2.0,60.0,기타,숙박시설,3575.03,관광호텔업
65,폐업,서울특별시 동대문구 왕산로 22 (신설동),라마다앙코르 동대문지점,관광숙박업,202233.604900045,452654.5266264,일반상업지역,20.0,6.0,332.0,,숙박시설,11588.89,관광호텔업
66,폐업,"서울특별시 강남구 학동로 141 (논현동, 호텔G)",호텔 G,관광숙박업,202253.771265692,445646.871803817,일반주거지역,5.0,1.0,0.0,학교정화(절대),호텔,2064.14,관광호텔업
67,폐업,서울특별시 강남구 논현로 561 (역삼동),베네치아 관광호텔,관광숙박업,202926.269503869,444872.917702388,일반주거지역,6.0,1.0,0.0,기타,호텔,2137.27,
68,폐업,서울특별시 강남구 언주로 547 (역삼동),케이팝호텔,관광숙박업,203468.913964504,444937.661021993,일반상업지역,14.0,6.0,0.0,주택가주변,호텔,13593.54,
69,폐업,서울특별시 강남구 봉은사로 223 (논현동),글래드 라이브,관광숙박업,203163.37,445134.235,일반상업지역,19.0,5.0,210.0,,호텔,16592.44,관광호텔업
70,폐업,서울특별시 강남구 테헤란로37길 13-13 (역삼동),녹스부띠끄관광호텔,관광숙박업,203444.744001988,444499.100403656,일반상업지역,12.0,3.0,0.0,유흥업소밀집지역,호텔,2785.91,
71,폐업,서울특별시 강남구 선릉로90길 46 (대치동),제이비스호텔,관광숙박업,204608.135,444745.055,상업지역,9.0,1.0,0.0,유흥업소밀집지역,숙박시설,1895.83,
72,폐업,서울특별시 광진구 광나루로30길 3 (구의동),호텔스타건대,관광숙박업,207216.442577009,449187.009010753,일반주거지역,5.0,1.0,39.0,,숙박시설,1535.16,관광호텔업
73,폐업,서울특별시 동대문구 장한로 110 (장안동),(주)경남관광호텔,관광숙박업,206199.953197537,451997.934849601,,10.0,2.0,80.0,,,12865.06,관광호텔업
74,폐업,서울특별시 동대문구 답십리로1길 39-5 (전농동),부림관광호텔,관광숙박업,203897.922953036,453018.913708542,일반상업지역,8.0,1.0,54.0,,호텔,3144.88,관광호텔업
75,폐업,서울특별시 동대문구 장한로 96  (장안동),알프스관광호텔,관광숙박업,206117.295011037,451867.005076753,,8.0,2.0,0.0,,,0.0,
76,폐업,서울특별시 동대문구 한천로24길 77 (장안동),동경호텔,관광숙박업,206023.596450826,451871.050539863,일반상업지역,7.0,1.0,60.0,,숙박시설,3249.75,관광호텔업
77,폐업,서울특별시 동대문구 천호대로 377 (장안동),골든씨티호텔,관광숙박업,205320.396297203,451122.642371749,,14.0,2.0,116.0,,숙박시설,4681.86,관광호텔업
78,폐업,서울특별시 광진구 아차산로78길 147 (광장동),한강관광호텔,관광숙박업,209602.113978282,449468.709626347,,0.0,0.0,0.0,,,0.0,관광호텔업
79,폐업,서울특별시 동대문구 천호대로 257  (답십리동),시티팔레스호텔,관광숙박업,204400.365537226,451854.716617007,,0.0,0.0,0.0,,,0.0,
80,폐업,,(주)워커힐,관광숙박업,,,,0.0,0.0,0.0,,,0.0,
81,폐업,서울특별시 광진구 아차산로78길 147 (광장동),한강관광호텔,관광숙박업,209602.113978282,449468.709626347,,5.0,3.0,116.0,,호텔,16289.85,관광호텔업
